Grupos Doencas,Doencas
PubMed,Outros Urticária especificada
PubMed,Outras sinovite e tenossinovite
PubMed,Transtorno do pâncreas
PubMed,Eritema nodosum migrans
PubMed,Edema de disco óptico
PubMed,Parakeratose (anormalidade morfológica)
PubMed,Paramyoclonus multiplex
PubMed,Distúrbio do seio nasal
PubMed,Paraplegia
PubMed,Parasomnia
PubMed,Mal de Parkinson
PubMed,Transtorno do pênis
PubMed,Granuloma apical
PubMed,Transtorno do sistema nervoso periférico
PubMed,Neuralgia periférica
PubMed,Transtorno do peritônio
PubMed,Petechiae de pele
PubMed,Faringite
PubMed,Erupção de luz polimórfica
PubMed,Fotodermatite
PubMed,Pleurodinia epidêmica
PubMed,Pneumatose citoides intestinalis
PubMed,Neuralgia pós -coletiva
PubMed,Neuralgia pós -infecciosa
PubMed,Complicação relacionada à gravidez
PubMed,Contração atrial prematura
PubMed,Myxedema pretibial
PubMed,Priapismo
PubMed,Insônia primária
PubMed,Transtorno da próstata
PubMed,Erupção cutânea pruritica
PubMed,Purigo Papule
PubMed,Dor de cabeça psicogênica
PubMed,Transtorno purpúrico
PubMed,Quadriplegia
PubMed,Radiculite
PubMed,"Síndrome da dor regional complexa, tipo I tipo I"
PubMed,Transtorno da refração
PubMed,Distúrbio do sistema respiratório
PubMed,Retinopatia
PubMed,Rinite
PubMed,Distúrbio da glândula salivar
PubMed,Infecção por Schistosoma
PubMed,Transtorno de Sclera
PubMed,Scleredema
PubMed,Defeito no campo visual
PubMed,Doença de Silo-Fillers
PubMed,Transtorno da pele
PubMed,Infecção da pele
PubMed,Infecção parasita da pele
PubMed,Lesão na pele
PubMed,Apnéia do sono
PubMed,Transtorno de caminhada do sono
PubMed,Síndrome do oeste
PubMed,Neuralgia de Esfenopalatina
PubMed,Doença da medula espinhal
PubMed,Transtorno da coluna vertebral
PubMed,Status epilepticus
PubMed,Síndrome de Stevens-Johnson
PubMed,Transtorno do estômago
PubMed,Heterotropia
PubMed,Oftalmoplegia supranuclear progressiva
PubMed,Neuralgia supraorbital
PubMed,Transtorno do testículo
PubMed,Tetany
PubMed,Transtorno do tórax
PubMed,Distúrbio da glândula tireóide
PubMed,Síndrome de Tolosa-Hunt
PubMed,Transtorno da língua
PubMed,Transtorno dentário
PubMed,Neuralgia trigeminal
PubMed,Trismus (descobriu)
PubMed,Tripanossomíase
PubMed,Tuberculose da pele
PubMed,Doença difusa do tecido conjuntivo
PubMed,Infecção respiratória superior
PubMed,Incontinencia urinaria
PubMed,Incontinência de estresse genuína
PubMed,Fístula do trato-genital urinário feminino
PubMed,Distúrbio do trato urinário
PubMed,Urticária (anormalidade morfológica)
PubMed,Transtorno da vagina
PubMed,Vaginite e vulvovaginite
PubMed,Variantes de enxaqueca
PubMed,Varizes venosas
PubMed,Transtorno vascular
PubMed,Dor de cabeça vascular
PubMed,Ataque Vasovagal
PubMed,Insuficiência velofaríngea
PubMed,Neuralgia vidiana
PubMed,Doença viral
PubMed,Fenômeno entupto
PubMed,Visão anormal
PubMed,Transtorno da vulva
PubMed,Vulvite
PubMed,Verruca vulgaris
PubMed,Desperdiçar doenças
PubMed,Xeroderma
PubMed,Hipoossecreção da glândula salivar
PubMed,Bradyarrithythmia
PubMed,Síndrome da poliomielite pós -poliomielite
PubMed,Doença vascular periférica
PubMed,Neovascularização da córnea
PubMed,Eosinofilia Síndrome do mialgia
PubMed,Eritema infectioso
PubMed,Convulsões epilépticas parciais complexas
PubMed,Epilepsia do lobo frontal
PubMed,Epilepsia parcialis continua
PubMed,Hipertensão essencial
PubMed,Monoplegia
PubMed,Akinesia
PubMed,LiveDo reticularis
PubMed,Eritema marginatum
PubMed,Neuralgia do plexo braquial
PubMed,Marasmus nutricionais
PubMed,Síndrome da pré -infarto
PubMed,Ataxia spinocerebelar
PubMed,Infecção por tecidos moles
PubMed,Granuloma umbilical
PubMed,Dismenorreia primária
PubMed,Enxaqueca
PubMed,Neuropatia ciática
PubMed,Oftalmoplegia diabética
PubMed,Dor crônica (achado)
PubMed,Angiite de hipersensibilidade
PubMed,Atrophoderma
PubMed,Transtorno do tronco cerebral
PubMed,Diarréia hemorrágica
PubMed,Aumentou a pressão intracraniana
PubMed,Doença cardíaca isquêmica
PubMed,Cólica biliar
PubMed,Transtorno da gravidez
PubMed,Transtorno sensorial
PubMed,Osteocondropatia
PubMed,Transtorno do diafragma
PubMed,Meralgia Paresthetica
PubMed,Oftalmoplegia internuclear
PubMed,Oftalmoplegia exoftálmica
PubMed,Pilorospasmo
PubMed,Síndrome de vômito cíclico
PubMed,Espasmo anal
PubMed,Decúbito angina (desordem)
PubMed,Oftalmoplegia interna total
PubMed,Esofora
PubMed,LAGOFTALMOS
PubMed,Produção excessiva de lágrimas
PubMed,Urticária colinérgica
PubMed,Eritema tóxico
PubMed,Polipo placentário
PubMed,Anel de Kayser-Fleischer
PubMed,Diarréia de origem infecciosa presumida
PubMed,Neuralgia trigêmea pós-herpética
PubMed,"Outra sífilis congênita tardia, sintomática"
PubMed,Deficiência de vitamina A com o ponto de bitot e xerose conjuntival
PubMed,Outras doenças extrapiramidais e distúrbios de movimento anormal (desordem)
PubMed,Mielopatia vascular
PubMed,Monoplegia do membro inferior
PubMed,Monoplegia do membro superior
PubMed,Outras síndromes paralíticas especificadas
PubMed,Enxaqueca com aura
PubMed,Transtorno de meninges
PubMed,Neuralgia glossofaríngea
PubMed,Outros distúrbios da raiz nervosa e do plexo
PubMed,Outros membros da mononeurite
PubMed,Retinopatia diabética proliferativa (desordem)
PubMed,Outras anormalidade microvascular intrarretinal (desordem)
PubMed,Oclusão arterial transitória
PubMed,Distúrbio visual psicofísico
PubMed,Ceratite intersticial difusa
PubMed,Vascularização localizada da córnea
PubMed,Pigmentação da córnea anterior
PubMed,Cisto conjuntival
PubMed,Outros distúrbios conjuntivos
PubMed,Outros distúrbios da pálpebra
PubMed,Outros distúrbios esclerais
PubMed,Estafiloma escleral
PubMed,Transtorno de Pinna
PubMed,Vertigem posicional paroxística benigna
PubMed,Vertigem de origem central
PubMed,Outros distúrbios do ouvido
PubMed,Varizes vulvalos
PubMed,Outras doenças especificadas do sistema circulatório
PubMed,Dor de garganta - crônica
PubMed,Bronquite crônica simples
PubMed,Edema pulmonar agudo devido a vapores e/ou vapores
PubMed,Edema pulmonar agudo
PubMed,Doença gengival e periodontal
PubMed,Cisto de tecido mole oral
PubMed,Outras condições especificadas da língua
PubMed,Transtorno da função do estômago
PubMed,Outras doenças do Apêndice
PubMed,Diarréia funcional
PubMed,Outros distúrbios especificados da próstata
PubMed,Outros distúrbios especificados da mama
PubMed,Endometriose do ovário
PubMed,Endometriose do peritônio pélvico
PubMed,Endometriose de septo retovaginal e vagina
PubMed,Endometriose do intestino
PubMed,Endometriose na cicatriz da pele
PubMed,Transtorno não inflamatório da vagina
PubMed,Distúrbios menopausa e pós -menopausa
PubMed,Eclâmpsia em puerperium
PubMed,Hiperemese gravidarum com perturbação metabólica - entregue
PubMed,Outros distúrbios de lactação não especificados
PubMed,Outros tecidos de granulação anormais nos
PubMed,Outra doença especificada das unhas
PubMed,Outros distúrbios especificados da glândula suada
PubMed,Desarranjo do joelho
PubMed,Outros distúrbios articulares especificados da mão
PubMed,Outros distúrbios articulares especificados da perna
PubMed,Outros distúrbios articulares especificados do tornozelo e do pé
PubMed,"Transtorno articular Nos, da região do ombro"
PubMed,"Transtorno articular Nos, do braço"
PubMed,"Transtorno articular Nos, do antebraço"
PubMed,Artropatia da articulação
PubMed,Síndrome difusa de cervicobrachial
PubMed,Transtorno do sacro
PubMed,Outro distúrbio do coccyx -retirado-
PubMed,Distúrbios das costas - Outro
PubMed,Entesopatia do tornozelo e/ou tarso
PubMed,"Outros distúrbios sinoviais, tendões e de bursa"
PubMed,Gânglio da articulação
PubMed,"Distúrbios musculares, ligamentos e fáscia"
PubMed,Outros distúrbios do tecido mole
PubMed,TACHYPNEA DO RECONBUNDO (DISDORAGEM)
PubMed,Icterícia perinatal devido a danos hepatocelulares
PubMed,Convulsões no recém -nascido
PubMed,Outras condições especificadas originárias do período perinatal
PubMed,Depósito da córnea
PubMed,Oftalmoplegia externa
PubMed,Dor múltipla da articulação
PubMed,Deficiência nutricional
PubMed,Infecção bacteriana da pele
PubMed,Síndrome de Fukuhara
PubMed,Hipogonadismo com anosmia
PubMed,Doença vascular da pele
PubMed,Pele hipopigmentada
PubMed,Transtorno da pele e/ou tecido subcutâneo
PubMed,Transtorno do sistema reprodutivo
PubMed,Algoneurodistrofia
PubMed,Insônia familiar fatal
PubMed,Síndrome cardíaca x
PubMed,Hidropisia endolinfática
PubMed,Convulsões familiares neonatais benignas
PubMed,Síndrome de Mauriac
PubMed,Doença cardíaca de mixedema
PubMed,Enxaqueca oftalmoplegica
PubMed,Ataxia cerebelar abortiva
PubMed,Obstipação
PubMed,Urticária devido a frio
PubMed,Cheilite angular
PubMed,Eritema migratório necrolítico
PubMed,Distrophia Unguium
PubMed,Retração do mamilo
PubMed,Gumma sifilítica
PubMed,Transtorno da função articular
PubMed,Xiphodynia
PubMed,Escápula estalada
PubMed,Achillodynia
PubMed,Defeito ventilatório
PubMed,Apneia éter
PubMed,Murmur contínuo
PubMed,Incontinência neurogênica
PubMed,Constipação crônica com transbordamento
PubMed,Diarréia nervosa
PubMed,Anti-diurese
PubMed,Hidrorréia Gravidarum
PubMed,Delirium de exaustão
PubMed,Distúrbio fisiológico associado ao humor
PubMed,Não -desenvolvimento sexual
PubMed,Paralisia bilateral parcial
PubMed,Paresia unilateral parcial
PubMed,Paresia unilateral completa
PubMed,Paralisia muscular neurológica
PubMed,Fraqueza muscular neurológica
PubMed,General areflexia
PubMed,Acroparestesia
PubMed,Dor de cabeça alérgica
PubMed,Neuralgia atípica
PubMed,Neuralgia do toco
PubMed,Paralisia atetoide
PubMed,Síncope hipotensa
PubMed,Síncope Tussive
PubMed,Amusia
PubMed,Anosognósia
PubMed,Anarthria
PubMed,Motor Apraxia
PubMed,Apreensão generalizada
PubMed,Convulsão central
PubMed,Crise clônica
PubMed,Coordenar convulsão
PubMed,Convulsão puerperal
PubMed,Convulsão tetânica
PubMed,Grito epiléptico
PubMed,Delirium pós -revisor
PubMed,Apreensão de estresse
PubMed,Vertigem cortical
PubMed,Vertigem ocular
PubMed,Vertigem cerebelar
PubMed,Eritema anular
PubMed,"Simples apreensão parcial, consciência não prejudicada"
PubMed,Epilepsia do córtex motor
PubMed,Cicloplegia
PubMed,Transtorno da veia
PubMed,Hemorragia do trato respiratório
PubMed,Diarréia neonatal
PubMed,Síndrome da membrana mucosa ocular
PubMed,Pólipo gástrico
PubMed,Transtorno do site do aplicativo
PubMed,Síndrome de Lennox-Gastaut
PubMed,Myxedema juvenil
PubMed,Pólipo de laringe
PubMed,Espasmo dos músculos das costas
PubMed,Carotidinia
PubMed,Massa de fígado
PubMed,Induração da pele
PubMed,Endometriose da pélvis
PubMed,Angiomatose da retina
PubMed,Deficiência de visão de cores
PubMed,Doença congênita
PubMed,Edema da retina
PubMed,Transtorno auditivo
PubMed,Tipo histológico de transtorno de pele inflamatória
PubMed,Dermatite difusa
PubMed,Paniculite afetando as costas
PubMed,Paniculite que afeta o sacro
PubMed,Abscesso de umbilo
PubMed,Celulite de umbilo
PubMed,Linfangite aguda de umbilo
PubMed,Pyoderma juvenil
PubMed,Bacterídeo
PubMed,Bacterídeo pustular
PubMed,"Eritema multiforme, tipo dérmico"
PubMed,"Eritema multiforme, tipo dérmico-epidérmico misto"
PubMed,"Eritema multiforme, tipo epidérmico"
PubMed,ERYTHEMA IRIS
PubMed,Herpes íris
PubMed,Urticária imunológica
PubMed,"Urticária pigmentosa, tipo maculopapular"
PubMed,Prurido senilis
PubMed,Prurigo simplex
PubMed,Prurigo nodularis
PubMed,Erythema gyratum se repens
PubMed,ERYTHEMA ANNULARE CENTRIFUGUM
PubMed,Eritema dischromicum perstans
PubMed,"Outra condição eritematosa especificada, NEC"
PubMed,Eritema elevatum diutinum
PubMed,Ulerythema
PubMed,Ubertema das bochechas
PubMed,Granulose Rubra nasi
PubMed,Eritromomelaisisfoliculares de rosto e/ou pescoço
PubMed,Pigmentação de clorpromazina
PubMed,Chrysoderma
PubMed,Condição hipertrófica da pele
PubMed,Papinhas dolorosas do pedal piezogênico
PubMed,Papúpulas de pressão pigmentada dolorosas
PubMed,Os nódulos do surfista
PubMed,Nódulos de pulso do pulso
PubMed,Os nódulos do seletor
PubMed,Transtorno de tecido musculoesquelético e conjuntivo
PubMed,"Efusão da junta de outro local, NEC"
PubMed,Aprisionando o quadril
PubMed,Lumbago-sciatica devido ao deslocamento do disco intervertebral lombar
PubMed,Síndrome de Grisel
PubMed,Transtorno de costas
PubMed,Síndrome de Putti
PubMed,Síndrome de Putti-Chavany
PubMed,Ganglionar a aponeurose
PubMed,Transtorno de tecido mole
PubMed,Fibrosite primária
PubMed,Fibrosite secundária
PubMed,Síndrome da Xiphoidalgia
PubMed,Disfunção segmentar
PubMed,Edema da nasofaringe
PubMed,Cisto da faringe
PubMed,Hemiplegia laríngea
PubMed,Distúrbio de cordão vocal
PubMed,Doença dos manipuladores de grãos
PubMed,Cisto diafragmático
PubMed,Disfonia espástica adutor
PubMed,Disfonia espástica adutora de tremor de voz orgânica
PubMed,Disfonia espástica abdutor
PubMed,Transtorno da voz neurológica
PubMed,Disfonia pseudobulbar mista de flácidos espásticos
PubMed,Disfonia parkinsoniana hipocinética
PubMed,Disfonia do mioclonia palatofaríngeo
PubMed,Aphonia apxic
PubMed,DysProsody of 'Pseudoforign Dialeect'
PubMed,Transtorno ressonatório nasal
PubMed,Rinolalia posterior Clausa
PubMed,Rinolalia anterior Clausa
PubMed,Nasalidade mista
PubMed,Disfonia psicogênica
PubMed,Nódulos vocais em crianças
PubMed,Nódulos vocais em adultos
PubMed,Falseto mutacional
PubMed,Transtorno de voz devido ao fator iatrogênico
PubMed,"Angina, classe I"
PubMed,"Angina, classe II"
PubMed,"Angina, classe III"
PubMed,"Angina, classe IV"
PubMed,Angina noturna
PubMed,Status anginosus
PubMed,Síncope Anginosa
PubMed,Insuficiência coronariana aguda
PubMed,Transtorno da condução do coração
PubMed,Doença cardíaca congênita cianótica
PubMed,Aneurisma congênito de aorta
PubMed,Koilonychia congênita
PubMed,Cisto globulo-maxilar
PubMed,Cisto palatal mediano
PubMed,Cisto naso-litais
PubMed,Massa pulsátil abdominal
PubMed,Cólica endêmica
PubMed,Pólipo gengival
PubMed,Transtorno de tecidos moles orais
PubMed,Cisto linfoepitelial da boca
PubMed,Granuloma de lábio
PubMed,Dispepsia não úlcera
PubMed,Vômito de hábito
PubMed,Vomitando em bebês e/ou crianças
PubMed,Náusea e vômito induzidos por drogas
PubMed,Granuloma idiopático isolado de estômago
PubMed,Dor alimentar do trato devido à insuficiência vascular
PubMed,Diarréia não infectiva
PubMed,Diarréia alérgica
PubMed,Diarréia dietética
PubMed,Granuloma do intestino
PubMed,Constipação idiopática crônica
PubMed,Constipação por obstrução
PubMed,Constipação induzida por drogas
PubMed,Dor anal idiopática crônica
PubMed,Enterposasmo
PubMed,Colonospasmo
PubMed,Bilioso vômito após cirurgia gastrointestinal
PubMed,Timpanitas de Cecum
PubMed,Diarréia osmótica
PubMed,Diarréia secretora
PubMed,Diarréia induzida por drogas e/ou toxinas
PubMed,Síndrome descendente do períneo
PubMed,Transtorno do Apêndice
PubMed,Enterite nãonulomatosa difusa idiopática
PubMed,Diarréia pós -quolecystectomia
PubMed,Diarréia devido à ingestão de álcool
PubMed,Diarréia associada ao leite bruto
PubMed,Diarréia crônica de bebês e/ou crianças pequenas
PubMed,Diarréia secretora congênita
PubMed,"Diarréia secretora congênita, tipo de cloreto"
PubMed,"Diarréia secretora congênita, tipo de sódio"
PubMed,Massa retroperitoneal
PubMed,Fibróide parasitário
PubMed,Cisto de fígado
PubMed,Cólica biliar recorrente
PubMed,Semi-estrela
PubMed,Transtorno hipotônico
PubMed,Cetoacidose de fome
PubMed,Hipercapnia com transtorno de ácido misto
PubMed,Sialidose normosomática
PubMed,Transtorno do metabolismo da bilirrubina
PubMed,Síndrome de icterícia colestática aguda
PubMed,Síndrome de icterícia colestática crônica
PubMed,Colestase da gravidez
PubMed,"Fragilidade da córnea Keratoglobus, esclera azul e hipermobilidade articular"
PubMed,Diabetes diabetes insipidus diprogênico
PubMed,Cisto uretral
PubMed,Transtorno do escroto
PubMed,Infertilidade devido a uma parada espermatogênica completa
PubMed,Infertilidade devido a uma parada espermatogênica incompleta
PubMed,Vulvodinia essencial
PubMed,Vulvodinia idiopática
PubMed,Cisto endometrial do ovário
PubMed,Endometriose implantada
PubMed,Deciduomatose
PubMed,Endosalpingiose
PubMed,Endometriose do colo do útero
PubMed,Endometriose de paramétrio
PubMed,Endometriose de amplo ligamento
PubMed,Endometriose do ligamento redondo
PubMed,Endometriose do beco sem saída
PubMed,Endometriose do septo retovaginal
PubMed,Endometriose da vagina
PubMed,Endometriose da vulva
PubMed,Endometriose do apêndice
PubMed,Endometriose do cólon
PubMed,Endometriose do reto
PubMed,Endometriose da bexiga
PubMed,Endometriose do pulmão
PubMed,Endometriose de umbilo
PubMed,Transtorno não inflamatório dos órgãos genitais femininos
PubMed,Cisto de tubo de falópio
PubMed,Cisto de amplo ligamento
PubMed,Cisto do útero
PubMed,Cisto de vulva
PubMed,Induração da mama
PubMed,Oligúria após gravidez molar e/ou ectópica
PubMed,Eclampsia adicionada à hipertensão pré-existente
PubMed,Hiperemese gravidarum antes do final de 22 semanas de gestação com depleção de carboidratos
PubMed,Hiperemese gravidarum antes do final da gestação de 22 semanas com desidratação
PubMed,Hiperemese gravidarum antes do final de 22 semanas de gestação com desequilíbrio eletrolítico
PubMed,Vômito devido a doenças orgânicas durante a gravidez
PubMed,Trabalho discoordinado
PubMed,Transtorno do peito associado ao parto
PubMed,Ataques cianóticos perinatais
PubMed,Destesso respiratório perinatal
PubMed,Icterícia fetal ou neonatal não especificada
PubMed,Síndrome de Lucey-Driscoll
PubMed,Icterícia perinatal de causas classificadas em outros lugares
PubMed,Diurnal apenas enurese
PubMed,Síndrome de exaustão neuromuscular generalizada
PubMed,Síndrome de Hipotermia-Weating
PubMed,Síndrome do lobo parietal de afasia-esquerda
PubMed,Tremor essencial
PubMed,Mioclonia essencial familiar
PubMed,Atetose dupla
PubMed,Ataxia cerebelar-marrom-marrom
PubMed,Síndrome de Nothnagel
PubMed,Atetose pós -completa
PubMed,Atetose com rigidez
PubMed,Atetose com paraplegia espástica
PubMed,Síndrome paralítica
PubMed,Hemiplegia facial
PubMed,Hemiparesia facial
PubMed,Paralisia cerebral hemiplégica
PubMed,Espasticidade neonatal letal
PubMed,Síndrome espástica
PubMed,Apreensão cursiva
PubMed,Convulsão gelástica
PubMed,Retropulsão Petit mal
PubMed,Epilepsia centrencefálica
PubMed,Petit Mal Status
PubMed,Epilepsia visual
PubMed,Epilepsia visceral
PubMed,Crises epilépticas não classificadas
PubMed,Convulsão parcial simples com disfunção sensorial somatossensorial ou especial
PubMed,Convulsão parcial simples com sintomas sensoriais especiais
PubMed,Automatismo epiléptico
PubMed,Secundariamente convulsões generalizadas
PubMed,Ataque epiléptico
PubMed,Epilepsia focal benigna da infância
PubMed,Epilepsia extratemporal
PubMed,Epilepsia generalizada idiopática
PubMed,Convulsões neonatais benignas
PubMed,Epilepsia mioclônica juvenil
PubMed,Epilepsia generalizada sintomática
PubMed,Encefalopatia mioclônica inicial (desordem)
PubMed,Epilepsia do reflexo
PubMed,Enxaqueca abdominal
PubMed,Meia enxaqueca inferior
PubMed,Enxaqueca basilar
PubMed,Enxaqueca da retina
PubMed,Enxaqueca hemiplégica
PubMed,Miokimia facial
PubMed,Hemiplegia hipoglossal alternada
PubMed,Myotonia ACCISITA
PubMed,Síndrome do bebê de disquete
PubMed,Degeneração cerebelar juvenil e mioclonia
PubMed,Transtorno mal definido do olho
PubMed,Pseudocista de retina
PubMed,Desbotamento concêntrico do campo visual
PubMed,Poliopia refrativa
PubMed,Nível de redução de redução de ambos os olhos
PubMed,Cegueira de um olho
PubMed,Anestesia da córnea
PubMed,Blefarofimose adquirida
PubMed,Nistagmo pendular
PubMed,Liquifação vítrea
PubMed,Otite difusa externa
PubMed,Síndrome vertiginosa
PubMed,Labiríntite difusa
PubMed,Diplacusia desarmônica
PubMed,Eco diplacusis
PubMed,Recrutamento
PubMed,Síndrome do ângulo da cerebelopontina
PubMed,Virilização isossexual
PubMed,Myxedema adulto
PubMed,Anemia devido à fome
PubMed,Hemoglobinopatia com cianose
PubMed,Doença de Stokvis
PubMed,Eritema frio associado à crioglobulina
PubMed,Eritema frio associado a aglutininas frias
PubMed,Eritema frio associado a hemolisinas
PubMed,Tag tonsilar
PubMed,Cisto esplênico
PubMed,Reação de transfusão urticária
PubMed,Doença infecciosa enantial
PubMed,Pintid
PubMed,Placas eritematosas de pinta
PubMed,Vitiligo de Pinta
PubMed,Goma sifilítica do sistema nervoso central
PubMed,Disenteria de inverno bovino
PubMed,Guinadas gumma de osso
PubMed,Osteite gummatous de guinada
PubMed,Periostite gummatous de guinadas
PubMed,Juxta-articular dos nódulos
PubMed,Diarréia da panturrilha neonatal
PubMed,Doença diarréica epidêmica de camundongo infantil
PubMed,Diarréia coronaviral da panturrilha
PubMed,Dispnéia associada à AIDS
PubMed,AIDS com fadiga
PubMed,Ajuda com hepatomegalia
PubMed,Ajuda com mal -estar
PubMed,Coccidioidomicose com eritema multiforme
PubMed,Esporotricose cutânea
PubMed,Mialgia cervical epidêmica
PubMed,Diarréia disentérica
PubMed,Diarréia epidêmica
PubMed,Diarréia do viajante
PubMed,Bradylalia
PubMed,Hemiplegia alternada
PubMed,Hemiparesia cruzada
