tipo relacao,valor da correlacao,MeSH Disease Terms Concatanados,MeSH Disease Term Concatenados
n para 1,"0,1135023675819520",Recorrência da neoplasia; local,Acanthose Nigricans
n para 1,"0,14942481273829100",Retardo mental; ligado ao X,Acanthose Nigricans
n para 1,"0,290107547113561",Síndromes neoplásicas; hereditárias,Acanthose Nigricans
n para 1,"0,4091558999827750",Tireoidite; autoimune,Acanthose Nigricans
n para 1,"0,18379286043033100",Transformação celular; neoplásica,Acanthose Nigricans
n para 1,"0,13492958393879500",Anormalidades; induzidas por drogas,Acidose
n para 1,"0,2606545638093380",Carcinoma; célula renal,Acidose
n para 1,"0,2117771315560680",Carcinoma; hepatocelular,Acidose
n para 1,"0,12149125682540700",Carcinoma; pulmão de células não pequenas,Acidose
n para 1,"0,17914808912157000",Defeitos cardíacos; congênitos,Acidose
n para 1,"0,4472989353835200",Doença pulmonar; obstrutiva crônica,Acidose
n para 1,"0,1301702942401130",Doenças cerebrais; metabólicas; inatos,Acidose
n para 1,"0,1201586008472850",Epilepsias; mioclônicas,Acidose
n para 1,"0,1668804433125020",Epilepsias; parciais,Acidose
n para 1,"0,5840740288258640",Hipóxia-isquemia; cérebro,Acidose
n para 1,"0,21558408975031200",Insuficiência hepática; aguda,Acidose
n para 1,"0,12650560097732000",Insuficiência renal; crônica,Acidose
n para 1,"0,21123210821883800",Leucemia; mielogênica; crônica; BCR-ABL POSITIVA,Acidose
n para 1,"0,12876591182885200",Leucemia; mielóide; aguda,Acidose
n para 1,"0,1887135588138280",Membranas fetais; ruptura prematura,Acidose
n para 1,"0,12572770266269900",Metabolismo lipídico; erros inatos,Acidose
n para 1,"0,14859322528888600",Metabolismo; erros inatos,Acidose
n para 1,"0,10222171576981800",Neoplasias do fígado; experimental,Acidose
n para 1,"0,8563805020784590",Síndrome de desconforto respiratório; adulto,Acidose
n para 1,"0,14113772409108600",Artrite; psoriática,Acne vulgaris
n para 1,"0,19426207954525100",Carcinoma; célula basal,Acne vulgaris
n para 1,"0,1032011910602940",Carcinoma; papilar,Acne vulgaris
n para 1,"0,19302287313180700",Infertilidade; homem,Acne vulgaris
n para 1,"0,18291187501148100",Neoplasias; segundo primário,Acne vulgaris
n para 1,"0,2926258605279840",Síndromes neoplásicas; hereditárias,Acne vulgaris
n para 1,"0,3122845005496280",Artrite; psoriática,Acro-osteólise
n para 1,"0,24986395624970400",Artrite; reumatóide,Acro-osteólise
n para 1,"0,19800952574125200",Artrite; reumatóide juvenil,Acro-osteólise
n para 1,"0,20217133926657900",Deformidades das mãos; congênitas,Acro-osteólise
n para 1,"0,33973701860005500",Deformidades de pé; congênitas,Acro-osteólise
n para 1,"0,1072307876661060",Doenças de pele; vasculares,Acro-osteólise
n para 1,"0,31030203981064900",Doenças ósseas; Desenvolvimento,Acro-osteólise
n para 1,"0,10033865216034700",Espondilite; anquilosing,Acro-osteólise
n para 1,"0,20144267957290600",Feridas; penetrando,Acro-osteólise
n para 1,"0,17539785967769100",Fraturas; osso,Acro-osteólise
n para 1,"0,1459238521652130",Infarto; artéria cerebral média,Acro-osteólise
n para 1,"0,36606653908030100",Osteoartrite; joelho,Acro-osteólise
n para 1,"0,6913516369868880",Perda auditiva; condutor,Acro-osteólise
n para 1,"0,13304926933678400",Scleroderma; sistêmico,Acro-osteólise
n para 1,"0,12304006140419000",Trombose sinusal; intracraniana,Acro-osteólise
n para 1,"0,7939253665046800",Anormalidades; múltiplas,Acrocefalossíndactilia
n para 1,"0,11028586184087200",Carcinoma; célula renal,Acrocefalossíndactilia
n para 1,"0,8097841724954290",Doenças ósseas; Desenvolvimento,Acrocefalossíndactilia
n para 1,"0,1325634388578000",Doenças ósseas; metabólicas,Acrocefalossíndactilia
n para 1,"0,11701366743408800",Infertilidade; homem,Acrocefalossíndactilia
n para 1,"0,12265112466322200",Leucemia; linfóide,Acrocefalossíndactilia
n para 1,"0,7079501078484260",Metabolismo; erros inatos,Acrocefalossíndactilia
n para 1,"0,2037662143106780",Perda auditiva; neurinhaural,Acrocefalossíndactilia
n para 1,"0,22341516282589700",Aborto; habitual,Acromegalia
n para 1,"0,36017068992625400",Anormalidades; múltiplas,Acromegalia
n para 1,"0,3008676075540260",Artrite; reumatóide,Acromegalia
n para 1,"0,31466468338773700",Carcinoma; célula escamosa,Acromegalia
n para 1,"0,362573443878723",Carcinoma; célula renal,Acromegalia
n para 1,"0,32793733506892500",Carcinoma; hepatocelular,Acromegalia
n para 1,"0,27011700325596600",Carcinoma; papilar,Acromegalia
n para 1,"0,19809478948377000",Carcinoma; pulmão de células não pequenas,Acromegalia
n para 1,"0,4217775270745870",Diabetes mellitus; experimental,Acromegalia
n para 1,"0,4777089637626330",Diabetes mellitus; tipo 2,Acromegalia
n para 1,"0,4163913077527470",Doenças ósseas; Desenvolvimento,Acromegalia
n para 1,"0,3794368437833860",Doenças ósseas; metabólicas,Acromegalia
n para 1,"0,43434146078812100",Infertilidade; homem,Acromegalia
n para 1,"0,28836597344430100",Leucemia; linfóide,Acromegalia
n para 1,"0,2158466947786020",Leucemia; mielóide,Acromegalia
n para 1,"0,25810704739095300",Leucemia; mielóide; aguda,Acromegalia
n para 1,"0,2471972851429850",Leucemia; promielocítica; aguda,Acromegalia
n para 1,"0,32609102442301600",Linfoma; não-Hodgkin,Acromegalia
n para 1,"0,3980891296203100",Metabolismo; erros inatos,Acromegalia
n para 1,"0,2081786593274680",Neoplasias; experimental,Acromegalia
n para 1,"0,2858233110723590",Recorrência da neoplasia; local,Acromegalia
n para 1,"0,2694052624359290",Síndromes neoplásicas; hereditárias,Acromegalia
n para 1,"0,2810716909526860",Transformação celular; neoplásica,Acromegalia
n para 1,"0,29953114137161900",Aborto; espontâneo,Addisionia
n para 1,"0,3849655450696670",Aborto; habitual,Addisionia
n para 1,"0,10845075033295200",Anemia; célula falciforme,Addisionia
n para 1,"0,10449605839916800",Anemia; hemolítica; congênita,Addisionia
n para 1,"0,20301332507375900",Anemia; Sideroblástica,Addisionia
n para 1,"0,2982927460567560",Anormalidades; induzidas por drogas,Addisionia
n para 1,"0,552803445748298",Anormalidades; múltiplas,Addisionia
n para 1,"0,10456637532652200",Ataque isquêmico; transitório,Addisionia
n para 1,"0,22806057223113500",Carcinoma; célula basal,Addisionia
n para 1,"0,13324784985471800",Cardiomiopatia; hipertrófica,Addisionia
n para 1,"0,11052492452112600",Colite; ulcerosa,Addisionia
n para 1,"0,14229385602458400",Defeitos cardíacos; congênitos,Addisionia
n para 1,"0,1709908937928050",Dermatite; Seborrheic,Addisionia
n para 1,"0,5465838014801040",Doenças ósseas; Desenvolvimento,Addisionia
n para 1,"0,11632287734428800",Doenças ósseas; metabólicas,Addisionia
n para 1,"0,17247205464474100",Epilepsia; ausência,Addisionia
n para 1,"0,20479337459143400",Epilepsia; generalizada,Addisionia
n para 1,"0,15128957844336600",Hérnia; diafragmática,Addisionia
n para 1,"0,1740994907408410",Infertilidade; homem,Addisionia
n para 1,"0,1516125869131340",Infertilidade; mulher,Addisionia
n para 1,"0,1467316847258140",Leucemia; linfóide,Addisionia
n para 1,"0,16050375688554500",Leucemia; mielóide,Addisionia
n para 1,"0,11038070511589300",Leucemia; mielóide; aguda,Addisionia
n para 1,"0,1392238897083610",Linfoma; células B grandes; difuso,Addisionia
n para 1,"0,12934101705063600",Linfoma; células T.,Addisionia
n para 1,"0,11262621075746100",Linfoma; não-Hodgkin,Addisionia
n para 1,"0,5238619768785600",Metabolismo; erros inatos,Addisionia
n para 1,"0,10121306664902000",Necrólise epidérmica; tóxica,Addisionia
n para 1,"0,11115004673265600",Ossificação; heterotópica,Addisionia
n para 1,"0,26121102418311200",Perda auditiva; neurinhaural,Addisionia
n para 1,"0,2738477534686390",Síndrome de desconforto respiratório; recém-nascido,Addisionia
n para 1,"0,10229240523500700",Tireoidite; autoimune,Addisionia
n para 1,"0,10996804578867700",Aborto; habitual,Adenocarcinoma
n para 1,"0,2101480202594720",Amiloidose; familiar,Adenocarcinoma
n para 1,"0,443875527946427",Artrite; reumatóide,Adenocarcinoma
n para 1,"0,2653923765866170",Diabetes mellitus; experimental,Adenocarcinoma
n para 1,"0,21221947097694600",Diabetes mellitus; tipo 2,Adenocarcinoma
n para 1,"0,13749699371381400",Doenças genéticas; inatos,Adenocarcinoma
n para 1,"0,23067631945249800",Doenças hepáticas; parasitas,Adenocarcinoma
n para 1,"0,3314811887120580",Doenças ósseas; metabólicas,Adenocarcinoma
n para 1,"0,34753403848019200",Hepatite C; crônica,Adenocarcinoma
n para 1,"0,12083446241900100",Hipertensão; renal,Adenocarcinoma
n para 1,"0,28233398793295800",Infertilidade; homem,Adenocarcinoma
n para 1,"0,44247308754146300",Leucemia; linfóide,Adenocarcinoma
n para 1,"0,45737568657596400",Leucemia; mielóide,Adenocarcinoma
n para 1,"0,5591494847807490",Leucemia; mielóide; aguda,Adenocarcinoma
n para 1,"0,35658957047384300",Leucemia; promielocítica; aguda,Adenocarcinoma
n para 1,"0,21888063766796800",Linfoma; células T.; cutânea,Adenocarcinoma
n para 1,"0,6806491218026840",Linfoma; não-Hodgkin,Adenocarcinoma
n para 1,"0,3097350735715960",Malária; falciparum,Adenocarcinoma
n para 1,"0,1058819367748540",Meningite; meningocócica,Adenocarcinoma
n para 1,"0,12296147631063000",Metabolismo; erros inatos,Adenocarcinoma
n para 1,"0,15399756405484900",Morte; repentina,Adenocarcinoma
n para 1,"0,5813094149418150",Neoplasias; experimental,Adenocarcinoma
n para 1,"0,18529678095976300",Neovascularização; patológica,Adenocarcinoma
n para 1,"0,3053196960326060",Pancreatite; crônica,Adenocarcinoma
n para 1,"0,48044320231053000",Sarcoma; Kaposi,Adenocarcinoma
n para 1,"0,36332251666638500",Scleroderma; sistêmico,Adenocarcinoma
n para 1,"0,12852132186968100",Síndromes neoplásicas; hereditárias,Adenocarcinoma
n para 1,"0,2905968219575810",Transformação celular; neoplásica,Adenocarcinoma
n para 1,"0,11769031120592300",Amiloidose; familiar,Adenoma
n para 1,"0,18663567335192200",Artrite; reumatóide,Adenoma
n para 1,"0,1367049508611090",Diabetes mellitus; experimental,Adenoma
n para 1,"0,1324617386998900",Diabetes mellitus; tipo 2,Adenoma
n para 1,"0,13897546183400200",Doenças genéticas; inatos,Adenoma
n para 1,"0,15062209718397900",Doenças ósseas; Desenvolvimento,Adenoma
n para 1,"0,19351058756535300",Doenças ósseas; metabólicas,Adenoma
n para 1,"0,1926924055473480",Hepatite C; crônica,Adenoma
n para 1,"0,25647239691049000",Infertilidade; homem,Adenoma
n para 1,"0,20923690328749200",Leucemia; linfóide,Adenoma
n para 1,"0,1857949420769680",Leucemia; mielóide,Adenoma
n para 1,"0,23684033991151100",Leucemia; mielóide; aguda,Adenoma
n para 1,"0,169663470608932",Leucemia; promielocítica; aguda,Adenoma
n para 1,"0,3084591379612780",Linfoma; não-Hodgkin,Adenoma
n para 1,"0,14385616986669600",Metabolismo; erros inatos,Adenoma
n para 1,"0,10143730938441700",Neovascularização; patológica,Adenoma
n para 1,"0,12946701787578600",Pancreatite; crônica,Adenoma
n para 1,"0,17551655007522300",Sarcoma; Kaposi,Adenoma
n para 1,"0,167942744268196",Scleroderma; sistêmico,Adenoma
n para 1,"0,22653250865271600",Síndromes neoplásicas; hereditárias,Adenoma
n para 1,"0,19152439792208700",Transformação celular; neoplásica,Adenoma
n para 1,"0,17448898759990900",Doenças oculares; hereditário,Adenoma da hipófise secretor de ACTH
n para 1,"0,16084139394648600",Leucemia; mielogênica; crônica; BCR-ABL POSITIVA,Adenoma da hipófise secretor de ACTH
n para 1,"0,10723258348015400",Miopatias; estruturais; conngitital,Adenoma da hipófise secretor de ACTH
n para 1,"0,15278992451210700",Anormalidades; múltiplas,Adrenoleukodystrophy
n para 1,"0,21460636466562400",Doenças ósseas; Desenvolvimento,Adrenoleukodystrophy
n para 1,"0,11012390055034400",Espondilite; anquilosing,Adrenoleukodystrophy
n para 1,"0,1479380435146530",Infertilidade; homem,Adrenoleukodystrophy
n para 1,"0,18463717845571400",Leucemia; linfóide,Adrenoleukodystrophy
n para 1,"0,10143016800392400",Leucemia; mielóide,Adrenoleukodystrophy
n para 1,"0,14958757274668600",Leucemia; mielóide; aguda,Adrenoleukodystrophy
n para 1,"0,14915350062921900",Linfoma; não-Hodgkin,Adrenoleukodystrophy
n para 1,"0,22838442129962700",Metabolismo; erros inatos,Adrenoleukodystrophy
n para 1,"0,3526376934321020",Anemia; hemolítica,Afibrinogenemia
n para 1,"0,2174194536852190",Artéria carótida; interna; dissecção,Afibrinogenemia
n para 1,"0,16207940600445500",Artrite; reumatóide,Afibrinogenemia
n para 1,"0,15849681114352200",Carcinoma; célula escamosa,Afibrinogenemia
n para 1,"0,15517747869735200",Carcinoma; célula renal,Afibrinogenemia
n para 1,"0,20581670771109900",Carcinoma; hepatocelular,Afibrinogenemia
n para 1,"0,14163264363719000",Carcinoma; pulmão de células não pequenas,Afibrinogenemia
n para 1,"0,140995686882436",Colite; ulcerosa,Afibrinogenemia
n para 1,"0,21292305602139900",Infarto; artéria cerebral média,Afibrinogenemia
n para 1,"0,333877170927999",Leucemia; mielóide,Afibrinogenemia
n para 1,"0,36911643611563600",Leucemia; mielóide; aguda,Afibrinogenemia
n para 1,"0,2928433388447980",Linfoma; não-Hodgkin,Afibrinogenemia
n para 1,"0,24503765081045300",Lúpus erytematoso; sistêmico,Afibrinogenemia
n para 1,"0,33429859131673800",Meningite; meningocócica,Afibrinogenemia
n para 1,"0,1520605985823460",Recorrência da neoplasia; local,Afibrinogenemia
n para 1,"0,3805751337688890",Acidose; tubular renal,Agammaglobulinemia
n para 1,"0,3570381461010400",Anemia; aplástica,Agammaglobulinemia
n para 1,"0,11971089284520800",Anemia; célula falciforme,Agammaglobulinemia
n para 1,"0,3448721000107500",Anemia; deficiência de ferro,Agammaglobulinemia
n para 1,"0,13062134512008700",Anemia; hemolítica,Agammaglobulinemia
n para 1,"0,16727108351140700",Anemia; hemolítica; autoimune,Agammaglobulinemia
n para 1,"0,26647432588262400",Anemia; megaloblástica,Agammaglobulinemia
n para 1,"0,1397834480570460",Anormalidades; múltiplas,Agammaglobulinemia
n para 1,"0,2979224840492490",Artrite; reumatóide,Agammaglobulinemia
n para 1,"0,1846328960194020",Artrite; reumatóide juvenil,Agammaglobulinemia
n para 1,"0,2069659071167430",Carcinoma; célula basal,Agammaglobulinemia
n para 1,"0,15855186604162400",Carcinoma; célula de transição,Agammaglobulinemia
n para 1,"0,17693740454537900",Carcinoma; célula escamosa,Agammaglobulinemia
n para 1,"0,29857966337696800",Carcinoma; célula renal,Agammaglobulinemia
n para 1,"0,2890370498805870",Carcinoma; hepatocelular,Agammaglobulinemia
n para 1,"0,16690755938407400",Carcinoma; pequena célula,Agammaglobulinemia
n para 1,"0,33468673583395200",Carcinoma; pulmão de células não pequenas,Agammaglobulinemia
n para 1,"0,19920452862490000",Choque; séptico,Agammaglobulinemia
n para 1,"0,27859442547182900",Colangite; esclerosante,Agammaglobulinemia
n para 1,"0,5984610831799910",Colite; ulcerosa,Agammaglobulinemia
n para 1,"0,1006722189428370",Convulsões; febril,Agammaglobulinemia
n para 1,"0,1457012804157920",Doenças cerebrais; metabólicas; inatos,Agammaglobulinemia
n para 1,"0,2452214885330010",Doenças genéticas; inatos,Agammaglobulinemia
n para 1,"0,16380041532471500",Doenças ósseas; Desenvolvimento,Agammaglobulinemia
n para 1,"0,13343087368463500",Doenças pulmonares; intersticiais,Agammaglobulinemia
n para 1,"0,15672640386985700",Doenças renais; Cystic,Agammaglobulinemia
n para 1,"0,10743381381070200",Epilepsia; generalizada,Agammaglobulinemia
n para 1,"0,10143091034163400",Epilepsias; mioclônicas,Agammaglobulinemia
n para 1,"0,2362233555709230",Esforocitose; hereditária,Agammaglobulinemia
n para 1,"0,12954112702104000",Espasmos; infantil,Agammaglobulinemia
n para 1,"0,10656122408270100",Espondilite; anquilosing,Agammaglobulinemia
n para 1,"0,15688855744616200",Glomerulonefrite; IgA,Agammaglobulinemia
n para 1,"0,16996059587955400",Glomerulosclerose; segmentar focal,Agammaglobulinemia
n para 1,"0,1304123181394030",Hemoglobinúria; paroxística,Agammaglobulinemia
n para 1,"0,16699245453907500",Hepatite B; crônica,Agammaglobulinemia
n para 1,"0,1715730052288620",Hepatite C; crônica,Agammaglobulinemia
n para 1,"0,13749965900838800",Hipertensão; renal,Agammaglobulinemia
n para 1,"0,11918202946877200",Infecções por mycobacterium; atípico,Agammaglobulinemia
n para 1,"0,1610825478084720",Influenza; humano,Agammaglobulinemia
n para 1,"0,11291775672526500",Insensibilidade à dor; congênita,Agammaglobulinemia
n para 1,"0,14341747251019900",Insuficiência hepática; aguda,Agammaglobulinemia
n para 1,"0,20182271829622200",Insuficiência renal; crônica,Agammaglobulinemia
n para 1,"0,2733212472035250",Leucemia-linfoma; células T adultas,Agammaglobulinemia
n para 1,"0,24228384186177900",Leucemia; linfocítica; crônica; células B,Agammaglobulinemia
n para 1,"0,4219821231625530",Leucemia; linfóide,Agammaglobulinemia
n para 1,"0,28756246644971100",Leucemia; mielogênica; crônica; BCR-ABL POSITIVA,Agammaglobulinemia
n para 1,"0,4484006909257380",Leucemia; mielóide,Agammaglobulinemia
n para 1,"0,30715569449782000",Leucemia; mielóide; aguda,Agammaglobulinemia
n para 1,"0,22580483389985900",Leucemia; monocítica; aguda,Agammaglobulinemia
n para 1,"0,10454133257908500",Leucemia; promielocítica; aguda,Agammaglobulinemia
n para 1,"0,3157515224428630",Linfoma; células B grandes; difuso,Agammaglobulinemia
n para 1,"0,32750310629304500",Linfoma; células B.,Agammaglobulinemia
n para 1,"0,4761344203281160",Linfoma; células T.,Agammaglobulinemia
n para 1,"0,47780799243071900",Linfoma; folicular,Agammaglobulinemia
n para 1,"0,4367601383679200",Linfoma; não-Hodgkin,Agammaglobulinemia
n para 1,"0,3083203318824790",Lúpus erytematoso; sistêmico,Agammaglobulinemia
n para 1,"0,21836602166877000",Malária; falciparum,Agammaglobulinemia
n para 1,"0,26468128471115800",Metabolismo; erros inatos,Agammaglobulinemia
n para 1,"0,21425233695347900",Nefrite; intersticial,Agammaglobulinemia
n para 1,"0,16001979155614100",Neoplasias genitais; feminino,Agammaglobulinemia
n para 1,"0,11156491255937100",Neoplasias; células germinativas e embrionário,Agammaglobulinemia
n para 1,"0,4158843112552610",Poliondocinopatias; autoimunes,Agammaglobulinemia
n para 1,"0,2634187843233290",Recorrência da neoplasia; local,Agammaglobulinemia
n para 1,"0,11404202905078600",Rim policístico; autossômico dominante,Agammaglobulinemia
n para 1,"0,38745032514819500",Scleroderma; sistêmico,Agammaglobulinemia
n para 1,"0,23664908935458500",Tireoidite; autoimune,Agammaglobulinemia
n para 1,"0,2348009142449590",Transformação celular; neoplásica,Agammaglobulinemia
n para 1,"0,13390591901878900",Trombocitemia; essencial,Agammaglobulinemia
n para 1,"0,11121243636719600",Doença de Parkinson; secundária,Agitação psicomotora
n para 1,"0,3699280054542590",Transtorno depressivo; Major,Agitação psicomotora
n para 1,"0,1272312389908570",Aborto; espontâneo,Agranulococitisis
n para 1,"0,2004154362913370",Anemia; célula falciforme,Agranulococitisis
n para 1,"0,12716034347158000",Artrite; reumatóide,Agranulococitisis
n para 1,"0,5706214809103660",Artrite; reumatóide juvenil,Agranulococitisis
n para 1,"0,1314481825323250",Carcinoma; célula basal,Agranulococitisis
n para 1,"0,16720375147150200",Carcinoma; célula escamosa,Agranulococitisis
n para 1,"0,27379715596880100",Carcinoma; célula renal,Agranulococitisis
n para 1,"0,2702128087165650",Carcinoma; hepatocelular,Agranulococitisis
n para 1,"0,16241523222429800",Carcinoma; pequena célula,Agranulococitisis
n para 1,"0,13257037472009000",Carcinoma; pulmão de células não pequenas,Agranulococitisis
n para 1,"0,1082638388174130",Colite; ulcerosa,Agranulococitisis
n para 1,"0,3029027455190500",Leucemia; linfocítica; crônica; células B,Agranulococitisis
n para 1,"0,5084870966482830",Leucemia; linfóide,Agranulococitisis
n para 1,"0,2789420105142840",Leucemia; mielogênica; crônica; BCR-ABL POSITIVA,Agranulococitisis
n para 1,"0,6798943323045440",Leucemia; mielóide,Agranulococitisis
n para 1,"0,7095802669203330",Leucemia; mielóide; aguda,Agranulococitisis
n para 1,"0,1534636278955510",Leucemia; monocítica; aguda,Agranulococitisis
n para 1,"0,6238075532168230",Leucemia; promielocítica; aguda,Agranulococitisis
n para 1,"0,2553137446849640",Linfoma; células grandes; anaplásicas,Agranulococitisis
n para 1,"0,4943379053984590",Linfoma; não-Hodgkin,Agranulococitisis
n para 1,"0,2317531478349050",Lúpus erytematoso; sistêmico,Agranulococitisis
n para 1,"0,12683240364481",Recorrência da neoplasia; local,Agranulococitisis
n para 1,"0,1535675147071420",Scleroderma; sistêmico,Agranulococitisis
n para 1,"0,1810672752064350",Trombocitemia; essencial,Agranulococitisis
n para 1,"0,10732719386351900",Artrite; reumatóide,Albuminúria
n para 1,"0,5126154655698850",Diabetes mellitus; experimental,Albuminúria
n para 1,"0,9749552488681800",Diabetes mellitus; tipo 1,Albuminúria
n para 1,"0,6941924031682310",Diabetes mellitus; tipo 2,Albuminúria
n para 1,"0,10137781981029800",Doenças ósseas; metabólicas,Albuminúria
n para 1,"0,1926077699215670",Glomerulosclerose; segmentar focal,Albuminúria
n para 1,"0,13885172295732800",Lúpus erytematoso; sistêmico,Albuminúria
n para 1,"0,19536984730928600",Aborto; habitual,Alcoolismo
n para 1,"0,16148104834923900",Anormalidades; múltiplas,Alcoolismo
n para 1,"0,22302139054501300",Artrite; reumatóide,Alcoolismo
n para 1,"0,2272856268246080",Diabetes mellitus; experimental,Alcoolismo
n para 1,"0,138281535956106",Diabetes mellitus; tipo 2,Alcoolismo
n para 1,"0,11472117966488900",Distrofia muscular; Emery-Dreifuss,Alcoolismo
n para 1,"0,17309905235111300",Doenças ósseas; Desenvolvimento,Alcoolismo
n para 1,"0,2633553988978450",Doenças ósseas; metabólicas,Alcoolismo
n para 1,"0,10555881035566500",Hipertensão; renal,Alcoolismo
n para 1,"0,29825682237352400",Infertilidade; homem,Alcoolismo
n para 1,"0,28206690233605000",Metabolismo; erros inatos,Alcoolismo
n para 1,"0,20762877216340600",Morte; repentina,Alcoolismo
n para 1,"0,22879708489825000",Neoplasias mamárias; animal,Alcoolismo
n para 1,"0,16782195430182700",Neoplasias; experimental,Alcoolismo
n para 1,"0,17708228806587200",Scleroderma; sistêmico,Alcoolismo
n para 1,"0,11949911323091700",Síndromes neoplásicas; hereditárias,Alcoolismo
n para 1,"0,19337864932357100",Transformação celular; neoplásica,Alcoolismo
n para 1,"0,2366855140709190",Aborto; espontâneo,Alfa-talassemia
n para 1,"0,11787720963162300",Anemia; hemolítica,Alfa-talassemia
n para 1,"0,32451455752719600",Anormalidades; múltiplas,Alfa-talassemia
n para 1,"0,1287638358340960",Defeitos cardíacos; congênitos,Alfa-talassemia
n para 1,"0,1813327549480380",Doenças cerebrais; metabólicas; inatos,Alfa-talassemia
n para 1,"0,3432622229163740",Doenças ósseas; Desenvolvimento,Alfa-talassemia
n para 1,"0,10774050703439500",Esforocitose; hereditária,Alfa-talassemia
n para 1,"0,2132310538106780",Espasmos; infantil,Alfa-talassemia
n para 1,"0,6236428491264190",Leucemia; megakaryoblástica; aguda,Alfa-talassemia
n para 1,"0,16276276598902900",Leucodystraphy; metacromático,Alfa-talassemia
n para 1,"0,30712995629771500",Metabolismo; erros inatos,Alfa-talassemia
n para 1,"0,1706008238355810",Paraplegia espástica; hereditária,Alfa-talassemia
n para 1,"0,14975260321797400",Carcinoma; célula renal,Alkaptonuria
