disease_Dui,Doencas Termos Unificados
707,Deficiência de biotinidase
708,Deficiência de citocromo-C oxidase
709,Deficiência de colina
710,Deficiência de di-hidropirimidina desidrogenase
711,deficiência de ferro
712,Deficiência de glicosefosfato desidrogenase
713,Deficiência de holocarboxilase sintetase
714,Deficiência de IgA
715,Deficiência de IgG
716,Deficiência de lecitina aciltransferase
717,Deficiência de magnésio
718,Deficiência de mevalonato quinase
719,Deficiência de pool de armazenamento de plaquetas
720,Deficiência de potássio
721,Deficiência de proteína
722,Deficiência de proteína C.
723,Deficiência de proteína S.
724,Deficiência de riboflavina
726,Deficiência de vitamina A.
727,Deficiência de vitamina B 12
728,Deficiência de vitamina B 6
729,Deficiência de vitamina B.
730,Deficiência de vitamina D.
731,Deficiência de vitamina E.
732,Deficiência de vitamina K.
733,Deficiência de Yin
734,Deficiência do fator V.
735,Deficiência do fator VII
736,Deficiência do fator X.
737,Deficiência do fator XI
738,Deficiência do fator XII
739,Deficiência do fator XIII
740,Deficiência múltipla de acil coenzima a desidrogenase
741,Deficiência múltipla de carboxilase
742,Deficiências de desenvolvimento
743,Déficit de atenção e distúrbios comportamentais perturbadores
744,Deformação muscular de distonia
745,Deformidade do equinus
746,Deformidades conjuntas
747,Deformidades da extremidade inferior
748,Deformidades da extremidade superior
749,Deformidades da orelha
750,Deformidades das mãos
751,Deformidades de membros
752,Deformidades de pé
753,Deformidades do nariz
754,Deformidades manuais
755,Degeneração cerebelar paraneoplásica
756,Degeneração combinada subaguda
757,Degeneração da retina
758,Degeneração do disco intervertebral
759,Degeneração do lobar frontotemporal
760,Degeneração do nervo
761,Degeneração estriaconigral
762,Degeneração hepatolenticular
763,Degeneração macular
764,Degeneração macular úmida
765,Degeneração retrógrada
766,Degeneração Wallerian
767,Degenerações espinocerebelares
768,degenerativa
769,Deiscência da ferida cirúrgica
770,Delírio
771,Delirium de retirada de álcool
773,Demência frontotemporal
774,Demineralização dentária
775,dendrítica
777,dental
778,Dente
779,Dente no dente
780,Dentes fundidos
781,Dentina
782,Dentinogênese imperfeita
783,Dependência da morfina
784,Dependência de heroína
785,dependentes do hormônio
786,Depósitos dentários
787,Depressão
788,deprimido
790,Dermatite herpetiformis
791,Dermatofibrossarcoma
792,Dermatomicoses
793,Dermatomiosite
794,Dermatoses da mão
795,Dermatoses da perna
796,Dermatoses do couro cabeludo
797,Dermatoses do pé
798,Dermatoses faciais
799,Dermopatia fibrosa nefrogênica
801,derrame primário
802,Descarga vaginal
803,descentuloso
804,Descolamento da retina
805,Descoloração dos dentes
806,desdentosa
807,desejar
809,Desequilíbrio ácido-base
810,Desequilíbrio de eletrolítica de água
811,Desgaste dos dentes
812,Desidratação
813,Desigualdade do comprimento da perna
814,Deslocamento de disco intervertebral
815,Deslocamentos
816,desmielinização inflamatória crônica
817,Desmineralização óssea
818,desmoplásico
820,Desnutrição de energia proteica
821,Desordem depressiva
822,desorganizada
824,Desproporção cefalopelvica
825,Destacamento vítreo
826,Dextrocardia
828,Diabetes enganando
829,Diabetes insipidus
832,diamante-Blackfan
833,Diástase de cyrafise pubiana
834,diastólico
835,Dicrocoelíase
836,Dientamobíase
838,difundidos
840,Dilatação
841,Dilatação gástrica
842,dilatada
843,Diphyllobotrinsis
845,Dirofilariose
846,Disartria
847,Disautonomia
848,Disco de disco óptico DRUSEN
849,discoid
850,Disenteria
851,Disfonia
852,Disfunção bactericida fagócita
853,Disfunção do enxerto primário
854,Disfunção do tendão tibial posterior
855,Disfunção erétil
856,Disfunção sexual
857,Disfunção ventricular
858,Disfunções sexuais
859,Disgammaglobulinemia
860,Disgenesia gonadal
861,Disgenesse gonadal
862,dishidrótico
863,Diskeratose congênita
865,Diskinesia biliar
866,Diskinesias
868,Dislipidemias
869,Dismenorreia
870,Disomia uniparental
871,Disostose craniofacial
872,Disostose mandibulofacial
873,Disperminoma
874,disperterropoiética
875,Displasia broncopulmonar
876,Displasia cervical uterina
877,Displasia cleidocraniana
878,Displasia da retina
879,Displasia dentina
880,Displasia ectodérmica
881,Displasia ectodérmica 1
882,Displasia ectodérmica 3
883,Displasia fibromuscular
884,Displasia fibrosa
885,Displasia fibrosa de osso
886,Displasia septo-óptica
887,Displasia tanatofórica
888,Displasia ventricular direita arritmogênica
889,Dispnéia
890,Disrafismo da coluna vertebral
891,Disreflexia autonômica
892,Dissautonomias primárias
893,dissecando
895,Dissecção da artéria vertebral
896,disseminado agudo
897,Dissiansergia cerebelar mioclônica
898,Distânia
899,Distocia
901,Distonia paroxística noturna
902,Distostose
903,Distrofia endotelial de Fuchs
904,Distrofia macular viteliforme
905,Distrofia miotônica
906,Distrofia muscular
907,Distrofia simpática do reflexo
908,Distrofias da córnea
909,Distrofias da retina
910,Distrofias musculares
911,Distrofias neuroaxonais
912,Distúrbio de conversão
913,Distúrbios afetivos
914,Distúrbios alimentares
915,Distúrbios auditivos
916,Distúrbios cerebrovasculares
917,distúrbios cognitivos
918,Distúrbios congênitos da glicosilação
919,Distúrbios craniomandibulares
920,Distúrbios cromossômicos
921,Distúrbios cromossômicos sexuais
922,Distúrbios cronobiológicos
923,Distúrbios da articulação
924,Distúrbios da articulação temporomandibular
925,Distúrbios da coagulação do sangue
926,Distúrbios da cognição
927,Distúrbios da comunicação
928,Distúrbios da consciência
929,Distúrbios da deglutição
930,Distúrbios da dor de cabeça
931,Distúrbios da enxaqueca
932,Distúrbios da excitação do sono
934,Distúrbios da fotosensibilidade
935,Distúrbios da linguagem
936,Distúrbios da marcha
937,Distúrbios da memória
938,Distúrbios da menstruação
939,Distúrbios da micção
940,Distúrbios da migração neuronal
941,Distúrbios da motilidade ciliar
942,Distúrbios da motilidade esofágica
943,Distúrbios da motilidade ocular
944,Distúrbios da nutrição infantil
945,Distúrbios da Olfação
946,Distúrbios da personalidade
947,Distúrbios da pigmentação
948,Distúrbios da proteína de coagulação
949,Distúrbios da proteína sanguínea
950,Distúrbios da respiração
951,Distúrbios da sensação
952,Distúrbios da transição do sono
953,Distúrbios da visão
954,Distúrbios das habilidades motoras
955,Distúrbios de ajuste
956,Distúrbios de aprendizagem
957,Distúrbios de combate
958,Distúrbios de controle de impulso
959,Distúrbios de crescimento
960,Distúrbios de deficiência de reparo de DNA
961,Distúrbios de desenvolvimento infantil
962,Distúrbios de eliminação
963,Distúrbios de iniciação e manutenção do sono
964,Distúrbios de lactação
965,Distúrbios de leucócitos
966,Distúrbios de plaquetas no sangue
968,Distúrbios de transporte de aminoácidos
969,Distúrbios de voz
970,Distúrbios dismorficos corporais
971,Distúrbios dissociativos
972,Distúrbios distônicos
973,Distúrbios do aluno
974,Distúrbios do ciclo de uréia
975,Distúrbios do comportamento da criança
976,Distúrbios do desenvolvimento de idiomas
977,Distúrbios do desenvolvimento sexual
978,Distúrbios do estresse
979,Distúrbios do estresse térmico
980,Distúrbios do metabolismo da glicose
981,Distúrbios do metabolismo do cálcio
982,Distúrbios do metabolismo do ferro
983,Distúrbios do metabolismo do fósforo
984,Distúrbios do metabolismo lipídico
985,Distúrbios do movimento
987,Distúrbios do trauma cumulativo
988,Distúrbios factícios
989,Distúrbios fóbicos
990,Distúrbios gonadais
991,Distúrbios hemorrágicos
992,Distúrbios hemostáticos
993,Distúrbios heredodegenerativos
994,Distúrbios imunoproliferativos
995,Distúrbios induzidos por álcool
996,Distúrbios linfoproliferativos
997,Distúrbios mieloproliferativos
998,Distúrbios miotônicos
999,Distúrbios musculares
1.000,Distúrbios necrobióticos
1.001,Distúrbios neuróticos
1.002,Distúrbios nutricionais
1.003,Distúrbios nutricionais fetais
1.004,Distúrbios nutricionais infantis
1.005,Distúrbios ovotesticulares do desenvolvimento sexual
1.006,Distúrbios paranóicos
1.007,Distúrbios Parkinsonian
1.008,Distúrbios perceptivos
1.009,Distúrbios perceptivos auditivos
1.010,Distúrbios peroxissômicos
1.011,Distúrbios psicomotores
1.012,Distúrbios psicóticos
1.013,Distúrbios puerperais
1.014,Distúrbios relacionados à anfetamina
1.015,Distúrbios relacionados à cocaína
1.016,Distúrbios relacionados a opióides
1.017,Distúrbios relacionados à substância
1.018,Distúrbios relacionados ao álcool
1.019,Distúrbios sexuais e de gênero
1.020,Distúrbios somatoformados
1.021,Distúrbios somatossensoriais
1.022,Distúrbios surdos e extras
1.023,Distúrbios tics
1.024,Diverticulite
1.025,Diverticulose
1.026,Diverticulum
1.027,Doenamento ósseo
1.030,Doença ambiental
1.031,Doença arterial coronária
1.032,Doença arterial periférica
1.033,Doença auto-imune do sistema nervoso
1.034,Doença cardíaca
1.035,Doença cardíaca carcinóide
1.036,Doença cardíaca pulmonar
1.037,Doença cardíaca reumática
1.038,Doença catastrófica
1.039,Doença celíaca
1.040,Doença Cerebrovascular dos Gânglios da Base
1.042,Doença da altitude
1.043,Doença da cadeia pesada
1.044,Doença da diarréia-mucosa do vírus bovino
1.045,Doença da hemoglobina C.
1.046,Doença da mama fibrocística
1.047,Doença da membrana basal anti-glomerular
1.048,Doença da membrana hialina
1.049,Doença da urina de xarope de bordo
1.050,Doença de Addison
1.051,Doença de Águas-Vantagens
1.052,Doença de Alexander
1.054,Doença de armazenamento de ácido siálico
1.055,Doença de armazenamento de éster de colesterol
1.056,Doença de armazenamento de glicogênio
1.057,Doença de armazenamento de glicogênio tipo I
1.058,Doença de armazenamento de glicogênio tipo II
1.059,Doença de armazenamento de glicogênio tipo IIB
1.060,Doença de armazenamento de glicogênio tipo III
1.061,Doença de armazenamento de glicogênio tipo IV
1.062,Doença de armazenamento de glicogênio tipo V
1.063,Doença de armazenamento de glicogênio tipo VII
1.064,Doença de armazenamento de glicogênio tipo VIII
1.065,Doença de arranhões de gatos
1.066,Doença de Bowen
1.067,Doença de Canavan
1.069,Doença de Charcot-Marie-Tooth
1.070,Doença de Charles
1.072,Doença de Darier
1.073,Doença de deficiência de carbamoil-fosfato sintase I
1.074,Doença de deficiência de ornitina carbamoyltransferase
1.075,Doença de deficiência de piruvato carboxilase
1.076,Doença de deficiência de sulfatase múltipla
1.077,Doença de deficiência do complexo de piruvato desidrogenase
1.078,Doença de enchimento de silo
1.079,Doença de Erdheim-Chester
1.080,Doença de Fabry
1.081,Doença de Fox-Fordyce
1.082,Doença de Gaucher
1.083,Doença de Gerstmann-Straussler-Fehker
1.084,Doença de Gilbert
1.085,Doença de Graves
1.086,Doença de Hartnup
1.087,Doença de Hashimoto
1.088,Doença de Hemoglobina SC
1.089,Doença de Hirschsprung
1.092,Doença de Kashin-Beck
1.094,Doença de Legg-Perthes
1.095,Doença de Leigh
1.096,Doença de Lupus
1.097,Doença de Lyme
1.098,Doença de Machado-José
1.099,Doença de mão
1.100,Doença de Marchiata-Bignami
1.101,Doença de Marek
1.103,Doença de Mikulicz
1.104,Doença de Miyamoya
1.105,Doença de Newcastle
1.107,Doença de Papillon-Lefevre
1.109,Doença de pé e boca
1.110,Doença de pele irregular
1.111,Doença de Pelizeus-Merzbacher
1.112,Doença de Raynaud
1.113,Doença de Refsum
1.114,Doença de Sandhoff
1.115,Doença de Scheuermann
1.116,Doença de Still
1.117,Doença de Tânger
1.118,Doença de Tay-Sachs
1.119,Doença de vison de Aleutian
1.120,Doença de Von Willebrand
1.121,Doença de Wolman
1.122,Doença dente
1.123,Doença descompressiva
1.124,Doença do corpo de Lewy
1.125,Doença do fígado do estágio final
1.126,Doença do leite
1.127,Doença do neurônio motor
1.128,Doença do soro
1.129,Doença do tecido conjuntivo misto
1.130,Doença do vírus de Marburg
1.131,Doença dos legionários
1.132,Doença fronteiriça
1.133,Doença granulomatosa
1.134,Doença grave
1.135,Doença iatrogênica
1.136,Doença inflamatória pélvica
1.137,Doença intestinal imunoproliferativa
1.138,Doença nascida
1.139,Doença Niemann-Pick
1.140,Doença pulmonar
1.141,Doença veno-oclusiva hepática
1.142,Doença veno-oclusiva pulmonar
1.143,Doença Weil
1.144,Doença Whipple
1.146,Doenças anexadas
1.147,Doenças arteriais cerebrais
1.148,Doenças arteriais intracranianas
1.149,Doenças Auditivas
1.150,Doenças autoimunes
1.151,Doenças autoimunes desmielinizantes
1.152,Doenças autoimunes do sistema nervoso
1.153,Doenças autoinflamatórias hereditárias
1.154,Doenças brônquicas
1.155,Doenças capilares
1.157,Doenças cecais
1.158,Doenças Cerebelares
1.159,Doenças cerebrais
1.160,Doenças cervicais uterinas
1.161,Doenças cocleares
1.162,Doenças colônicas
1.163,Doenças comuns do ducto biliar
1.164,Doenças conjuntas
1.165,Doenças conjuntivais
1.166,Doenças coróides
1.167,Doenças da aorta
1.168,Doenças da artéria carótida
1.169,Doenças da bexiga urinária
1.170,Doenças da boca
1.171,Doenças da cartilagem
1.172,Doenças da coluna vertebral
1.173,Doenças da córnea
1.174,Doenças da glândula adrenal
1.175,Doenças da glândula salivar
1.176,Doenças da glândula suada
1.177,Doenças da glândula submandibular
1.178,Doenças da íris
1.179,Doenças da laringe
1.180,Doenças da lente
1.182,Doenças da mandíbula
1.183,Doenças da medula espinhal
1.184,Doenças da medula óssea
1.185,Doenças da orelha
1.186,Doenças da pálpebra
1.187,Doenças da paratireóide
1.188,Doenças da placenta
1.189,Doenças da retina
1.190,Doenças da tireóide
1.191,Doenças da válvula cardíaca
1.192,Doenças da vesícula biliar
1.193,Doenças de aparelhos lacrimais
1.194,Doenças de armazenamento lisossômicas
1.195,Doenças de colágeno
1.196,Doenças de deficiência
1.197,Doenças de imunodeficiência combinadas ligadas ao X
1.198,Doenças de junção neuromuscular
1.199,Doenças de mama
1.200,Doenças de pele
1.201,Doenças de polpa dentária
1.202,Doenças de príon
1.203,Doenças de tubo de falópio
1.204,Doenças dentárias
1.205,Doenças desmielinizantes
1.206,Doenças desmielinizantes do sistema nervoso central hereditário
1.207,Doenças do ânus
1.208,Doenças do córtex adrenal
1.209,Doenças do ducto biliar
1.210,Doenças do estômago
1.211,Doenças do labirinto
1.212,Doenças do nariz
1.213,Doenças do nervo craniano
1.214,Doenças do nervo facial
1.215,Doenças do nervo hipoglossal
1.216,Doenças do nervo óptico
1.217,Doenças do pé
1.218,Doenças do seio paranasal
1.219,Doenças do sistema nervoso autonômico
1.220,Doenças do sistema nervoso central
1.221,Doenças do sistema nervoso periférico
1.222,Doenças do tecido conjuntivo
1.223,Doenças do trato biliar
1.224,Doenças dos gânglios da base
1.225,Doenças dos trabalhadores agrícolas
1.226,Doenças duodenais
1.227,Doenças em gêmeos
1.228,Doenças esclerais
1.229,Doenças esofágicas
1.230,Doenças esplênicas
1.231,Doenças faríngeas
1.232,Doenças fetais
1.233,Doenças gastrointestinais
1.234,Doenças genéticas
1.235,Doenças gengivais
1.236,Doenças genitais
1.237,Doenças Hematológicas
1.238,Doenças hepáticas
1.239,Doenças hipotalâmicas
1.240,Doenças ileais
1.241,Doenças imunes complexas
1.242,Doenças inflamatórias intestinais
1.244,Doenças jejunais
1.245,Doenças labiais
1.246,Doenças lentas do vírus
1.247,Doenças linfáticas
