SubCapitulo,Classe
Infecções de transmissão predominantemente sexual (A50-A64),Cancro mole
Infecções de transmissão predominantemente sexual (A50-A64),Granuloma inguinal
Infecções de transmissão predominantemente sexual (A50-A64),Tricomoníase
Infecções de transmissão predominantemente sexual (A50-A64),Infecções anogenitais pelo vírus do herpes [herpes simples]
Infecções de transmissão predominantemente sexual (A50-A64),"Outras doenças de transmissão predominantemente sexual, não classificadas em outra parte"
Infecções de transmissão predominantemente sexual (A50-A64),"Doenças sexualmente transmitidas, não especificadas"
Outras doenças por espiroquetas (A65-A69),Sífilis não-venérea
Outras doenças por espiroquetas (A65-A69),Bouba
Outras doenças por espiroquetas (A65-A69),Pinta [carate]
Outras doenças por espiroquetas (A65-A69),Febres recorrentes [Borrelioses]
Outras doenças por espiroquetas (A65-A69),Outras infecções por espiroquetas
Outras doenças causadas por clamídias (A70-A74),Infecções causadas por Clamídia psittaci
Outras doenças causadas por clamídias (A70-A74),Tracoma
Outras doenças causadas por clamídias (A70-A74),Outras doenças causadas por Clamídias
Rickettsioses (A75-A79),Tifo exantemático
Rickettsioses (A75-A79),Febre maculosa [rickettsioses transmitidas por carrapatos]
Rickettsioses (A75-A79),Febre Q
Rickettsioses (A75-A79),Outras rickettsioses
Infecções virais do sistema nervoso central (A80-A89),Poliomielite aguda
Infecções virais do sistema nervoso central (A80-A89),Infecções por vírus atípicos do sistema nervoso central
Infecções virais do sistema nervoso central (A80-A89),Raiva
Infecções virais do sistema nervoso central (A80-A89),Encefalite por vírus transmitidos por mosquitos
Infecções virais do sistema nervoso central (A80-A89),Encefalite por vírus transmitido por carrapatos
Infecções virais do sistema nervoso central (A80-A89),"Outras encefalites virais, não classificadas em outra parte"
Infecções virais do sistema nervoso central (A80-A89),"Encefalite viral, não especificada"
Infecções virais do sistema nervoso central (A80-A89),Meningite viral
Infecções virais do sistema nervoso central (A80-A89),Outras infecções virais do sistema nervoso central não classificadas em outra parte
Infecções virais do sistema nervoso central (A80-A89),Infecções virais não especificadas do sistema nervoso central
Febres por arbovírus e febres hemorrágicas virais (A90-A99),Dengue [dengue clássico]
Febres por arbovírus e febres hemorrágicas virais (A90-A99),Febre hemorrágica devida ao vírus do dengue
Febres por arbovírus e febres hemorrágicas virais (A90-A99),Outras febres virais transmitidas por mosquitos
Febres por arbovírus e febres hemorrágicas virais (A90-A99),Outras febres por vírus transmitidas por artrópodes não classificadas em outra parte
Febres por arbovírus e febres hemorrágicas virais (A90-A99),"Febre viral transmitida por artrópodes, não especificada"
Febres por arbovírus e febres hemorrágicas virais (A90-A99),Febre amarela
Febres por arbovírus e febres hemorrágicas virais (A90-A99),Febre hemorrágica por arenavírus
Febres por arbovírus e febres hemorrágicas virais (A90-A99),"Outras febres hemorrágicas por vírus, não classificadas em outra parte"
Febres por arbovírus e febres hemorrágicas virais (A90-A99),Febres hemorrágicas virais não especificadas
Infecções virais caracterizadas por lesões de pele e mucosas (B00-B09),Infecções pelo vírus do herpes [herpes simples]
Infecções virais caracterizadas por lesões de pele e mucosas (B00-B09),Varicela [Catapora]
Infecções virais caracterizadas por lesões de pele e mucosas (B00-B09),Herpes zoster [Zona]
Infecções virais caracterizadas por lesões de pele e mucosas (B00-B09),Varíola
Infecções virais caracterizadas por lesões de pele e mucosas (B00-B09),Varíola dos macacos [Monkeypox]
Infecções virais caracterizadas por lesões de pele e mucosas (B00-B09),Sarampo
Infecções virais caracterizadas por lesões de pele e mucosas (B00-B09),Rubéola
Infecções virais caracterizadas por lesões de pele e mucosas (B00-B09),Verrugas de origem viral
Infecções virais caracterizadas por lesões de pele e mucosas (B00-B09),"Outras infecções virais caracterizadas por lesões da pele e das membranas mucosas, não classificadas em outra parte"
Infecções virais caracterizadas por lesões de pele e mucosas (B00-B09),Infecção viral não especificada caracterizada por lesões da pele e membranas mucosas
Hepatite viral (B15-B19),Hepatite aguda A
Hepatite viral (B15-B19),Hepatite aguda B
Hepatite viral (B15-B19),Outras hepatites virais agudas
Hepatite viral (B15-B19),Hepatite viral crônica
Hepatite viral (B15-B19),Hepatite viral não especificada
Doença pelo vírus da imunodeficiência humana [HIV] (B20-B24),"Doença pelo vírus da imunodeficiência humana [HIV], resultando em doenças infecciosas e parasitárias"
Doença pelo vírus da imunodeficiência humana [HIV] (B20-B24),"Doença pelo vírus da imunodeficiência humana [HIV], resultando em neoplasias malignas"
Doença pelo vírus da imunodeficiência humana [HIV] (B20-B24),Doença pelo vírus da imunodeficiência humana [HIV] resultando em outras doenças especificadas
Doença pelo vírus da imunodeficiência humana [HIV] (B20-B24),Doença pelo vírus da imunodeficiência humana [HIV] resultando em outras doenças
Doença pelo vírus da imunodeficiência humana [HIV] (B20-B24),Doença pelo vírus da imunodeficiência humana [HIV] não especificada
Outras doenças por vírus (B25-B34),Doença por citomegalovírus
Outras doenças por vírus (B25-B34),Caxumba [Parotidite epidêmica]
Outras doenças por vírus (B25-B34),Mononucleose infecciosa
Outras doenças por vírus (B25-B34),Conjuntivite viral
Outras doenças por vírus (B25-B34),Outras doenças por vírus não classificada em outra parte
Outras doenças por vírus (B25-B34),"Doenças por vírus, de localização não especificada"
Micoses (B35-B49),Dermatofitose
Micoses (B35-B49),Outras micoses superficiais
Micoses (B35-B49),Candidíase
Micoses (B35-B49),Coccidioidomicose
Micoses (B35-B49),Histoplasmose
Micoses (B35-B49),Blastomicose
Micoses (B35-B49),Paracoccidioidomicose
Micoses (B35-B49),Esporotricose
Micoses (B35-B49),Cromomicose e abscesso feomicótico
Micoses (B35-B49),Aspergilose
Micoses (B35-B49),Criptococose
Micoses (B35-B49),Zigomicose
Micoses (B35-B49),Micetoma
Micoses (B35-B49),"Outras micoses, não classificadas em outra parte"
Micoses (B35-B49),Micose não especificada
Doenças devidas a protozoários (B50-B64),Malária por Plasmodium falciparum
Doenças devidas a protozoários (B50-B64),Malária por Plasmodium vivax
Doenças devidas a protozoários (B50-B64),Malária por Plasmodium malariae
Doenças devidas a protozoários (B50-B64),Outras formas de malária confirmadas por exames parasitológicos
Doenças devidas a protozoários (B50-B64),Malária não especificada
Doenças devidas a protozoários (B50-B64),Leishmaniose
Doenças devidas a protozoários (B50-B64),Tripanossomíase africana
Doenças devidas a protozoários (B50-B64),Doença de Chagas
Doenças devidas a protozoários (B50-B64),Toxoplasmose
Doenças devidas a protozoários (B50-B64),Pneumocistose
Doenças devidas a protozoários (B50-B64),"Outras doenças devidas a protozoários, não classificadas em outra parte"
Doenças devidas a protozoários (B50-B64),Doença não especificada devida a protozoários
Helmintíases (B65-B83),Esquistossomose [bilharziose] [Schistosomíase]
Helmintíases (B65-B83),Outras infestações por trematódeos
Helmintíases (B65-B83),Equinococose
Helmintíases (B65-B83),Infestação por Taenia
Helmintíases (B65-B83),Cisticercose
Helmintíases (B65-B83),Difilobotríase e esparganose
Helmintíases (B65-B83),Outras infestações por cestóides
Helmintíases (B65-B83),Dracontíase
Helmintíases (B65-B83),Oncocercose
Helmintíases (B65-B83),Filariose
Helmintíases (B65-B83),Triquinose
Helmintíases (B65-B83),Ancilostomíase
Helmintíases (B65-B83),Ascaridíase
Helmintíases (B65-B83),Estrongiloidíase
Helmintíases (B65-B83),Tricuríase
Helmintíases (B65-B83),Oxiuríase
Helmintíases (B65-B83),"Outras helmintíases intestinais, não classificadas em outra parte"
Helmintíases (B65-B83),Parasitose intestinal não especificada
Helmintíases (B65-B83),Outras helmintíases
"Pediculose, acaríase e outras infestações (B85-B89)",Pediculose e ftiríase
"Pediculose, acaríase e outras infestações (B85-B89)",Escabiose [sarna]
"Pediculose, acaríase e outras infestações (B85-B89)",Miíase
"Pediculose, acaríase e outras infestações (B85-B89)",Outras infestações
"Pediculose, acaríase e outras infestações (B85-B89)",Doença parasitária não especificada
Seqüelas de doenças infecciosas e parasitárias (B90-B94),Seqüelas de tuberculose
Seqüelas de doenças infecciosas e parasitárias (B90-B94),Seqüelas de poliomielite
Seqüelas de doenças infecciosas e parasitárias (B90-B94),Seqüelas de hanseníase [lepra]
Seqüelas de doenças infecciosas e parasitárias (B90-B94),Seqüelas de outras doenças infecciosas e parasitárias e das não especificadas
"Agentes de infecções bacterianas, virais e outros agentes infecciosos (B95-B97)",Estreptococos e estafilococos como causa de doenças classificadas em outros capítulos
"Agentes de infecções bacterianas, virais e outros agentes infecciosos (B95-B97)","Outros agentes bacterianos, como causa de doenças classificadas em outros capítulos"
"Agentes de infecções bacterianas, virais e outros agentes infecciosos (B95-B97)",Vírus como causa de doenças classificadas em outros capítulos
Outras doenças infecciosas (B99-B99),"Doenças infecciosas, outras e as não especificadas"
Neoplasias [tumores] malignas(os) (C00-C97),Neoplasia maligna do lábio
Neoplasias [tumores] malignas(os) (C00-C97),Neoplasia maligna da base da língua
Neoplasias [tumores] malignas(os) (C00-C97),Neoplasia maligna de outras partes e de partes não especificadas da língua
Neoplasias [tumores] malignas(os) (C00-C97),Neoplasia maligna da gengiva
Neoplasias [tumores] malignas(os) (C00-C97),Neoplasia maligna do assoalho da boca
Neoplasias [tumores] malignas(os) (C00-C97),Neoplasia maligna do palato
Neoplasias [tumores] malignas(os) (C00-C97),Neoplasia maligna de outras partes e de partes não especificadas da boca
Neoplasias [tumores] malignas(os) (C00-C97),Neoplasia maligna da glândula parótida
Neoplasias [tumores] malignas(os) (C00-C97),Neoplasia maligna de outras glândulas salivares maiores e as não especificadas
Neoplasias [tumores] malignas(os) (C00-C97),Neoplasia maligna da amígdala
Neoplasias [tumores] malignas(os) (C00-C97),Neoplasia maligna da orofaringe
Neoplasias [tumores] malignas(os) (C00-C97),Neoplasia maligna da nasofaringe
Neoplasias [tumores] malignas(os) (C00-C97),Neoplasia maligna do seio piriforme
Neoplasias [tumores] malignas(os) (C00-C97),Neoplasia maligna da hipofaringe
Neoplasias [tumores] malignas(os) (C00-C97),"Neoplasia maligna de outras localizações e de localizações mal definida, do lábio, cavidade oral e faringe"
Neoplasias [tumores] malignas(os) (C00-C97),Neoplasia maligna do esôfago
Neoplasias [tumores] malignas(os) (C00-C97),Neoplasia maligna do estômago
Neoplasias [tumores] malignas(os) (C00-C97),Neoplasia maligna do intestino delgado
Neoplasias [tumores] malignas(os) (C00-C97),Neoplasia maligna do cólon
Neoplasias [tumores] malignas(os) (C00-C97),Neoplasia maligna da junção retossigmóide
Neoplasias [tumores] malignas(os) (C00-C97),Neoplasia maligna do reto
Neoplasias [tumores] malignas(os) (C00-C97),Neoplasia maligna do ânus e do canal anal
Neoplasias [tumores] malignas(os) (C00-C97),Neoplasia maligna do fígado e das vias biliares intra-hepáticas
Neoplasias [tumores] malignas(os) (C00-C97),Neoplasia maligna da vesícula biliar
Neoplasias [tumores] malignas(os) (C00-C97),"Neoplasia maligna de outras partes, e de partes não especificadas das vias biliares"
Neoplasias [tumores] malignas(os) (C00-C97),Neoplasia maligna do pâncreas
Neoplasias [tumores] malignas(os) (C00-C97),Neoplasia maligna de outros órgãos digestivos e de localizações mal definidas no aparelho digestivo
Neoplasias [tumores] malignas(os) (C00-C97),Neoplasia maligna da cavidade nasal e do ouvido médio
Neoplasias [tumores] malignas(os) (C00-C97),Neoplasia maligna dos seios da face
Neoplasias [tumores] malignas(os) (C00-C97),Neoplasia maligna da laringe
Neoplasias [tumores] malignas(os) (C00-C97),Neoplasia maligna da traquéia
Neoplasias [tumores] malignas(os) (C00-C97),Neoplasia maligna dos brônquios e dos pulmões
Neoplasias [tumores] malignas(os) (C00-C97),Neoplasia maligna do timo
Neoplasias [tumores] malignas(os) (C00-C97),"Neoplasia maligna do coração, mediastino e pleura"
Neoplasias [tumores] malignas(os) (C00-C97),Neoplasia maligna de outras localizações e de localizações mal definidas do aparelho respiratório e dos órgãos intratorácicos
Neoplasias [tumores] malignas(os) (C00-C97),Neoplasia maligna dos ossos e cartilagens articulares dos membros
Neoplasias [tumores] malignas(os) (C00-C97),Neoplasia maligna dos ossos e das cartilagens articulares de outras localizações e de localizações não especificadas
Neoplasias [tumores] malignas(os) (C00-C97),Melanoma maligno da pele
Neoplasias [tumores] malignas(os) (C00-C97),Outras neoplasias malignas da pele
Neoplasias [tumores] malignas(os) (C00-C97),Mesotelioma
Neoplasias [tumores] malignas(os) (C00-C97),Sarcoma de Kaposi
Neoplasias [tumores] malignas(os) (C00-C97),Neoplasia maligna dos nervos periféricos e do sistema nervoso autônomo
Neoplasias [tumores] malignas(os) (C00-C97),Neoplasia maligna dos tecidos moles do retroperitônio e do peritônio
Neoplasias [tumores] malignas(os) (C00-C97),Neoplasia maligna do tecido conjuntivo e de outros tecidos moles
Neoplasias [tumores] malignas(os) (C00-C97),Neoplasia maligna da mama
Neoplasias [tumores] malignas(os) (C00-C97),Neoplasia maligna da vulva
Neoplasias [tumores] malignas(os) (C00-C97),Neoplasia maligna da vagina
Neoplasias [tumores] malignas(os) (C00-C97),Neoplasia maligna do colo do útero
Neoplasias [tumores] malignas(os) (C00-C97),Neoplasia maligna do corpo do útero
Neoplasias [tumores] malignas(os) (C00-C97),"Neoplasia maligna do útero, porção não especificada"
Neoplasias [tumores] malignas(os) (C00-C97),Neoplasia maligna do ovário
Neoplasias [tumores] malignas(os) (C00-C97),Neoplasia maligna de outros órgãos genitais femininos e dos não especificados
Neoplasias [tumores] malignas(os) (C00-C97),Neoplasia maligna da placenta
Neoplasias [tumores] malignas(os) (C00-C97),Neoplasia maligna do pênis
Neoplasias [tumores] malignas(os) (C00-C97),Neoplasia maligna da próstata
Neoplasias [tumores] malignas(os) (C00-C97),Neoplasia maligna dos testículos
Neoplasias [tumores] malignas(os) (C00-C97),Neoplasia maligna de outros órgãos genitais masculinos e dos não especificados
Neoplasias [tumores] malignas(os) (C00-C97),"Neoplasia maligna do rim, exceto pelve renal"
Neoplasias [tumores] malignas(os) (C00-C97),Neoplasia maligna da pelve renal
Neoplasias [tumores] malignas(os) (C00-C97),Neoplasia maligna dos ureteres
Neoplasias [tumores] malignas(os) (C00-C97),Neoplasia maligna da bexiga
Neoplasias [tumores] malignas(os) (C00-C97),Neoplasia maligna de outros órgãos urinários e dos não especificados
Neoplasias [tumores] malignas(os) (C00-C97),Neoplasia maligna do olho e anexos
Neoplasias [tumores] malignas(os) (C00-C97),Neoplasia maligna das meninges
Neoplasias [tumores] malignas(os) (C00-C97),Neoplasia maligna do encéfalo
Neoplasias [tumores] malignas(os) (C00-C97),"Neoplasia maligna da medula espinhal, dos nervos cranianos e de outras partes do sistema nervoso central"
Neoplasias [tumores] malignas(os) (C00-C97),Neoplasia maligna da glândula tireóide
Neoplasias [tumores] malignas(os) (C00-C97),Neoplasia maligna da glândula supra-renal [Glândula adrenal]
Neoplasias [tumores] malignas(os) (C00-C97),Neoplasia maligna de outras glândulas endócrinas e de estruturas relacionadas
Neoplasias [tumores] malignas(os) (C00-C97),Neoplasia maligna de outras localizações e de localizações mal definidas
Neoplasias [tumores] malignas(os) (C00-C97),Neoplasia maligna secundária e não especificada dos gânglios linfáticos
Neoplasias [tumores] malignas(os) (C00-C97),Neoplasia maligna secundária dos órgãos respiratórios e digestivos
Neoplasias [tumores] malignas(os) (C00-C97),Neoplasia maligna secundária de outras localizações
Neoplasias [tumores] malignas(os) (C00-C97),"Neoplasia maligna, sem especificação de localização"
Neoplasias [tumores] malignas(os) (C00-C97),Doença de Hodgkin
Neoplasias [tumores] malignas(os) (C00-C97),"Linfoma não-Hodgkin, folicular (nodular)"
Neoplasias [tumores] malignas(os) (C00-C97),Linfoma não-Hodgkin difuso
Neoplasias [tumores] malignas(os) (C00-C97),Linfomas de células T cutâneas e periféricas
Neoplasias [tumores] malignas(os) (C00-C97),Linfoma não-Hodgkin de outros tipos e de tipo não especificado
Neoplasias [tumores] malignas(os) (C00-C97),Doenças imunoproliferativas malignas
Neoplasias [tumores] malignas(os) (C00-C97),Mieloma múltiplo e neoplasias malignas de plasmócitos
Neoplasias [tumores] malignas(os) (C00-C97),Leucemia linfóide
Neoplasias [tumores] malignas(os) (C00-C97),Leucemia mielóide
Neoplasias [tumores] malignas(os) (C00-C97),Leucemia monocítica
Neoplasias [tumores] malignas(os) (C00-C97),Outras leucemias de células de tipo especificado
Neoplasias [tumores] malignas(os) (C00-C97),Leucemia de tipo celular não especificado
Neoplasias [tumores] malignas(os) (C00-C97),"Outras neoplasias malignas e as não especificadas dos tecidos linfático, hematopoético e tecidos correlatos"
Neoplasias [tumores] malignas(os) (C00-C97),Neoplasias malignas de localizações múltiplas independentes (primárias)
"Neoplasias malignas do lábio, cavidade oral e faringe (C00-C14)","Carcinoma in situ da cavidade oral, do esôfago e do estômago"
"Neoplasias malignas do lábio, cavidade oral e faringe (C00-C14)",Carcinoma in situ de outros órgãos digestivos
"Neoplasias malignas do lábio, cavidade oral e faringe (C00-C14)",Carcinoma in situ do ouvido médio e do aparelho respiratório
"Neoplasias malignas do lábio, cavidade oral e faringe (C00-C14)",Melanoma in situ
"Neoplasias malignas do lábio, cavidade oral e faringe (C00-C14)",Carcinoma in situ da pele
"Neoplasias malignas do lábio, cavidade oral e faringe (C00-C14)",Carcinoma in situ da mama
"Neoplasias malignas do lábio, cavidade oral e faringe (C00-C14)",Carcinoma in situ do colo do útero (cérvix)
"Neoplasias malignas do lábio, cavidade oral e faringe (C00-C14)",Carcinoma in situ de outros órgãos genitais e dos não especificados
"Neoplasias malignas do lábio, cavidade oral e faringe (C00-C14)",Carcinoma in situ de outras localizações e das não especificadas
"Neoplasias malignas do lábio, cavidade oral e faringe (C00-C14)",Neoplasia benigna da boca e da faringe
"Neoplasias malignas do lábio, cavidade oral e faringe (C00-C14)",Neoplasia benigna de glândulas salivares maiores
"Neoplasias malignas do lábio, cavidade oral e faringe (C00-C14)","Neoplasia benigna do cólon, reto, canal anal e ânus"
"Neoplasias malignas do lábio, cavidade oral e faringe (C00-C14)",Neoplasia benigna de outras partes e de partes mal definidas do aparelho digestivo
"Neoplasias malignas do lábio, cavidade oral e faringe (C00-C14)",Neoplasia benigna do ouvido médio e do aparelho respiratório
Neoplasias [tumores] benignas(os) (D10-D36),Neoplasia benigna de outros órgãos intratorácicos e dos não especificados
Neoplasias [tumores] benignas(os) (D10-D36),Neoplasia benigna de osso e de cartilagem articular
Neoplasias [tumores] benignas(os) (D10-D36),Neoplasia lipomatosa benigna
Neoplasias [tumores] benignas(os) (D10-D36),Hemangioma e linfangioma de qualquer localização
Neoplasias [tumores] benignas(os) (D10-D36),Neoplasia benigna de tecido mesotelial
Neoplasias [tumores] benignas(os) (D10-D36),Neoplasia benigna de tecido mole do retroperitônio e do peritônio
Neoplasias [tumores] benignas(os) (D10-D36),Outras neoplasias benignas do tecido conjuntivo e de outros tecidos moles
Neoplasias [tumores] benignas(os) (D10-D36),Nevos melanocíticos
Neoplasias [tumores] benignas(os) (D10-D36),Outras neoplasias benignas da pele
Neoplasias [tumores] benignas(os) (D10-D36),Neoplasia benigna da mama
Neoplasias [tumores] benignas(os) (D10-D36),Leiomioma do útero
Neoplasias [tumores] benignas(os) (D10-D36),Outras neoplasias benignas do útero
Neoplasias [tumores] benignas(os) (D10-D36),Neoplasia benigna do ovário
Neoplasias [tumores] benignas(os) (D10-D36),Neoplasia benigna de outros órgãos genitais femininos e de órgãos não especificados
Neoplasias [tumores] benignas(os) (D10-D36),Neoplasia benigna dos órgãos genitais masculinos
Neoplasias [tumores] benignas(os) (D10-D36),Neoplasia benigna dos órgãos urinários
Neoplasias [tumores] benignas(os) (D10-D36),Neoplasia benigna do olho e anexos
Neoplasias [tumores] benignas(os) (D10-D36),Neoplasia benigna das meninges
Neoplasias [tumores] benignas(os) (D10-D36),Neoplasia benigna do encéfalo e de outras partes do sistema nervoso central
Neoplasias [tumores] benignas(os) (D10-D36),Neoplasia benigna da glândula tireóide
Neoplasias [tumores] benignas(os) (D10-D36),Neoplasia benigna de outras glândulas endócrinas e das não especificadas
Neoplasias [tumores] benignas(os) (D10-D36),Neoplasia benigna de outras localizações e de localizações não especificadas
Neoplasias [tumores] de comportamento incerto ou desconhecido (D37-D48),Neoplasia de comportamento incerto ou desconhecido da cavidade oral e dos órgãos digestivos
Neoplasias [tumores] de comportamento incerto ou desconhecido (D37-D48),Neoplasia de comportamento incerto ou desconhecido do ouvido médio e dos órgãos respiratórios e intratorácicos
Neoplasias [tumores] de comportamento incerto ou desconhecido (D37-D48),Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais femininos
Neoplasias [tumores] de comportamento incerto ou desconhecido (D37-D48),Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais masculinos
Neoplasias [tumores] de comportamento incerto ou desconhecido (D37-D48),Neoplasia de comportamento incerto ou desconhecido dos órgãos urinários
Neoplasias [tumores] de comportamento incerto ou desconhecido (D37-D48),Neoplasia de comportamento incerto ou desconhecido das meninges
Neoplasias [tumores] de comportamento incerto ou desconhecido (D37-D48),Neoplasia de comportamento incerto ou desconhecido do encéfalo e do sistema nervoso central
Neoplasias [tumores] de comportamento incerto ou desconhecido (D37-D48),Neoplasia de comportamento incerto ou desconhecido das glândulas endócrinas
Neoplasias [tumores] de comportamento incerto ou desconhecido (D37-D48),Policitemia vera
Neoplasias [tumores] de comportamento incerto ou desconhecido (D37-D48),Síndromes mielodisplásicas
Neoplasias [tumores] de comportamento incerto ou desconhecido (D37-D48),"Outras neoplasias de comportamento incerto ou desconhecido dos tecidos linfático, hematopoético e tecidos correlatos"
Neoplasias [tumores] de comportamento incerto ou desconhecido (D37-D48),Neoplasia de comportamento incerto ou desconhecido de outras localizações e de localizações não especificadas
Anemias nutricionais (D50-D53),Anemia por deficiência de ferro
Anemias nutricionais (D50-D53),Anemia por deficiência de vitamina B12
Anemias nutricionais (D50-D53),Anemia por deficiência de folato
Anemias nutricionais (D50-D53),Outras anemias nutricionais
Anemias hemolíticas (D55-D59),Anemia devida a transtornos enzimáticos
Anemias hemolíticas (D55-D59),Talassemia
Anemias hemolíticas (D55-D59),Transtornos falciformes
Anemias hemolíticas (D55-D59),Outras anemias hemolíticas hereditárias
Anemias hemolíticas (D55-D59),Anemia hemolítica adquirida
Anemias aplásticas e outras anemias (D60-D64),"Aplasia pura da série vermelha, adquirida [eritroblastopenia]"
Anemias aplásticas e outras anemias (D60-D64),Outras anemias aplásticas
Anemias aplásticas e outras anemias (D60-D64),Anemia aguda pós-hemorrágica
Anemias aplásticas e outras anemias (D60-D64),Anemia em doenças crônicas classificadas em outra parte
Anemias aplásticas e outras anemias (D60-D64),Outras anemias
"Defeitos da coagulação, púrpura e outras afecções hemorrágicas (D65-D69)",Coagulação intravascular disseminada [síndrome de desfibrinação]
"Defeitos da coagulação, púrpura e outras afecções hemorrágicas (D65-D69)",Deficiência hereditária do fator VIII
"Defeitos da coagulação, púrpura e outras afecções hemorrágicas (D65-D69)",Deficiência hereditária do fator IX
"Defeitos da coagulação, púrpura e outras afecções hemorrágicas (D65-D69)",Outros defeitos da coagulação
"Defeitos da coagulação, púrpura e outras afecções hemorrágicas (D65-D69)",Púrpura e outras afecções hemorrágicas
Outras doenças do sangue e dos órgãos hematopoéticos (D70-D77),Agranulocitose
Outras doenças do sangue e dos órgãos hematopoéticos (D70-D77),Transtornos funcionais dos neutrófilos polimorfonucleares
Outras doenças do sangue e dos órgãos hematopoéticos (D70-D77),Outros transtornos dos glóbulos brancos
Outras doenças do sangue e dos órgãos hematopoéticos (D70-D77),Doenças do baço
Outras doenças do sangue e dos órgãos hematopoéticos (D70-D77),Metemoglobinemia
Outras doenças do sangue e dos órgãos hematopoéticos (D70-D77),Outras doenças do sangue e dos órgãos hematopoéticos
Outras doenças do sangue e dos órgãos hematopoéticos (D70-D77),Algumas doenças que envolvem o tecido linforreticular e o sistema reticulohistiocítico
Outras doenças do sangue e dos órgãos hematopoéticos (D70-D77),Outros transtornos do sangue e dos órgãos hematopoéticos em doenças classificadas em outra parte
Alguns transtornos que comprometem o mecanismo imunitário (D80-D89),Imunodeficiência com predominância de defeitos de anticorpos
Alguns transtornos que comprometem o mecanismo imunitário (D80-D89),Deficiências imunitárias combinadas
Alguns transtornos que comprometem o mecanismo imunitário (D80-D89),"Imunodeficiência associada com outros defeitos ""major"""
Alguns transtornos que comprometem o mecanismo imunitário (D80-D89),Imunodeficiência comum variável
Alguns transtornos que comprometem o mecanismo imunitário (D80-D89),Outras imunodeficiências
Alguns transtornos que comprometem o mecanismo imunitário (D80-D89),Sarcoidose
Alguns transtornos que comprometem o mecanismo imunitário (D80-D89),Outros transtornos que comprometem o mecanismo imunitário não classificados em outra parte
