Classe,DESCRICAO
"Outras intoxicações alimentares bacterianas, não classificadas em outra parte",Intoxicação alimentar devida a Bacillus cereus
"Outras intoxicações alimentares bacterianas, não classificadas em outra parte",Outras intoxicações alimentares bacterianas especificadas
"Outras intoxicações alimentares bacterianas, não classificadas em outra parte",Intoxicação alimentar bacteriana não especificada
Amebíase,Disenteria amebiana aguda
Amebíase,Amebíase intestinal crônica
Amebíase,Colite amebiana não-disentérica
Amebíase,Ameboma intestinal
Amebíase,Abscesso amebiano do fígado
Amebíase,Abscesso amebiano do pulmão
Amebíase,Abscesso amebiano do cérebro
Amebíase,Amebíase cutânea
Amebíase,Infecção amebiana de outras localizações
Amebíase,Amebíase não especificada
Outras doenças intestinais por protozoários,Balantidíase
Outras doenças intestinais por protozoários,Giardíase [lamblíase]
Outras doenças intestinais por protozoários,Criptosporidiose
Outras doenças intestinais por protozoários,Isosporíase
Outras doenças intestinais por protozoários,Outras doenças intestinais especificadas por protozoários
Outras doenças intestinais por protozoários,Doença intestinal não especificada por protozoários
"Infecções intestinais virais, outras e as não especificadas",Enterite por rotavírus
"Infecções intestinais virais, outras e as não especificadas",Gastroenteropatia aguda pelo agente de Norwalk
"Infecções intestinais virais, outras e as não especificadas",Enterite por adenovírus
"Infecções intestinais virais, outras e as não especificadas",Outras enterites virais
"Infecções intestinais virais, outras e as não especificadas",Infecção intestinal devida a vírus não especificado
"Infecções intestinais virais, outras e as não especificadas",Outras infecções intestinais especificadas
Diarréia e gastroenterite de origem infecciosa presumível,Diarréia e gastroenterite de origem infecciosa presumível
"Tuberculose respiratória, com confirmação bacteriológica e histológica","Tuberculose pulmonar, com confirmação por exame microscópico da expectoração, com ou sem cultura"
"Tuberculose respiratória, com confirmação bacteriológica e histológica","Tuberculose pulmonar, com confirmação somente por cultura"
"Tuberculose respiratória, com confirmação bacteriológica e histológica","Tuberculose pulmonar, com confirmação histológica"
"Tuberculose respiratória, com confirmação bacteriológica e histológica","Tuberculose pulmonar, com confirmação por meio não especificado"
"Tuberculose respiratória, com confirmação bacteriológica e histológica","Tuberculose dos gânglios intratorácicos, com confirmação bacteriológica e histológica"
"Tuberculose respiratória, com confirmação bacteriológica e histológica","Tuberculose da laringe, da traquéia e dos brônquios, com confirmação bacteriológica e histológica"
"Tuberculose respiratória, com confirmação bacteriológica e histológica","Pleuris tuberculoso, com confirmação bacteriológica e histológica"
"Tuberculose respiratória, com confirmação bacteriológica e histológica","Tuberculose primária das vias respiratórias, com confirmação bacteriológica e histológica"
"Tuberculose respiratória, com confirmação bacteriológica e histológica","Outras formas de tuberculose das vias respiratórias, com confirmação bacteriológica e histológica"
"Tuberculose respiratória, com confirmação bacteriológica e histológica","Tuberculose não especificada das vias respiratórias, com confirmação bacteriológica e histológica"
"Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica",Tuberculose pulmonar com exames bacteriológico e histológico negativos
"Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica","Tuberculose pulmonar, sem realização de exame bacteriológico ou histológico"
"Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica","Tuberculose pulmonar, sem menção de confirmação bacteriológica ou histológica"
"Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica","Tuberculose dos gânglios intratorácicos, sem menção de confirmação bacteriológica ou histológica"
"Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica","Tuberculose da laringe, da traquéia e dos brônquios, sem menção de confirmação bacteriológica ou histológica"
"Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica","Pleurisia tuberculosa, sem menção de confirmação bacteriológica ou histológica"
"Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica",Tuberculosa respiratória primária sem menção de confirmação bacteriológica ou histológica
"Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica","Outras formas de tuberculose das vias respiratórias, sem menção de confirmação bacteriológica ou histológica"
"Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica","Tuberculose respiratória, não especificada, sem menção de confirmação bacteriológica ou histológica"
Tuberculose do sistema nervoso,Meningite tuberculosa
Tuberculose do sistema nervoso,Tuberculoma meníngeo
Tuberculose do sistema nervoso,Outras tuberculoses do sistema nervoso
Tuberculose do sistema nervoso,Tuberculose não especificada do sistema nervoso
Tuberculose de outros órgãos,Tuberculose óssea e das articulações
Tuberculose de outros órgãos,Tuberculose do aparelho geniturinário
Tuberculose de outros órgãos,Linfadenopatia tuberculosa periférica
Tuberculose de outros órgãos,"Tuberculose do intestino, do peritônio e dos gânglios mesentéricos"
Tuberculose de outros órgãos,Tuberculose de pele e do tecido celular subcutâneo
Tuberculose de outros órgãos,Tuberculose do olho
Tuberculose de outros órgãos,Tuberculose do ouvido
Tuberculose de outros órgãos,Tuberculose das supra-renais
Tuberculose de outros órgãos,Tuberculose de outros órgãos especificados
Tuberculose miliar,Tuberculose miliar aguda de localização única e especificada
Tuberculose miliar,Tuberculose miliar aguda de múltiplas localizações
Tuberculose miliar,Tuberculose miliar aguda não especificada
Tuberculose miliar,Outras tuberculoses miliares
Tuberculose miliar,Tuberculose miliar não especificada
Peste,Peste bubônica
Peste,Peste celulocutânea
Peste,Peste pneumônica
Peste,Peste meníngea
Peste,Peste septicêmica
Peste,Outras formas de peste
Peste,"Peste, forma não especificada"
Tularemia,Tularemia ulceroglandular
Tularemia,Tularemia oculoglandular
Tularemia,Tularemia pulmonar
Tularemia,Tularemia gastrointestinal
Tularemia,Tularemia generalizada
Tularemia,Outras formas de tularemia
Tularemia,"Tularemia, forma não especificada"
Carbúnculo,Carbúnculo cutâneo
Carbúnculo,Carbúnculo pulmonar
Carbúnculo,Carbúnculo gastrointestinal
Carbúnculo,Septicemia carbunculosa
Carbúnculo,Outras formas de carbúnculo
Carbúnculo,"Carbúnculo, forma não especificada"
Brucelose,Brucelose por Brucella melitensis
Brucelose,Brucelose por Brucella abortus
Brucelose,Brucelose por Brucella suis
Brucelose,Brucelose por Brucella canis
Brucelose,Outras bruceloses
Brucelose,Brucelose não especificada
Mormo e melioidose,Mormo
Mormo e melioidose,Melioidose aguda e fulminante
Mormo e melioidose,Melioidose subaguda e crônica
Mormo e melioidose,Outras melioidoses
Mormo e melioidose,Melioidose não especificada
Febres transmitidas por mordedura de rato,Espirilose
Febres transmitidas por mordedura de rato,Estreptobacilose
Febres transmitidas por mordedura de rato,"Febre transmitida por mordedura de rato, tipo não especificado"
Erisipelóide,Erisipelóide cutâneo
Erisipelóide,Septicemia por Erysipelothrix
Erisipelóide,Outras formas de erisipelóide
Erisipelóide,Erisipelóide não especificado
Leptospirose,Leptopirose icterohemorrágica
Leptospirose,Outras formas de leptospirose
Leptospirose,Leptospirose não especificada
Outras doenças bacterianas zoonóticas não classificadas em outra parte,Pasteurelose
Outras doenças bacterianas zoonóticas não classificadas em outra parte,Doença por arranhadura do gato
Outras doenças bacterianas zoonóticas não classificadas em outra parte,Yersiniose extra-intestinal
Outras doenças bacterianas zoonóticas não classificadas em outra parte,Outras doenças bacterianas zoonóticas especificadas não classificadas em outra parte
Outras doenças bacterianas zoonóticas não classificadas em outra parte,Doença bacteriana zoonótica não especificada
Hanseníase [doença de Hansen] [lepra],Hanseníase [lepra] indeterminada
Hanseníase [doença de Hansen] [lepra],Hanseníase [lepra] tuberculóide
Hanseníase [doença de Hansen] [lepra],Hanseníase [lepra] tuberculóide borderline
Hanseníase [doença de Hansen] [lepra],Hanseníase [lepra] dimorfa
Hanseníase [doença de Hansen] [lepra],Hanseníase [lepra] lepromatosa borderline
Hanseníase [doença de Hansen] [lepra],Hanseníase [lepra] lepromatosa
Hanseníase [doença de Hansen] [lepra],Outras formas de hanseníase [lepra]
Hanseníase [doença de Hansen] [lepra],Hanseníase [lepra] não especificada
Infecções devidas a outras micobactérias,Infecção pulmonar micobacteriana
Infecções devidas a outras micobactérias,Infecção cutânea micobacteriana
Infecções devidas a outras micobactérias,Outras infecções micobacterianas
Infecções devidas a outras micobactérias,Infecção micobacteriana não especificada
Listeriose [listeríase],Listeriose cutânea
Listeriose [listeríase],Meningite e meningoencefalite por listéria
Listeriose [listeríase],Septicemia listeriótica
Listeriose [listeríase],Outras formas de listeriose
Listeriose [listeríase],Listeriose não especificada
Tétano do recém-nascido [neonatal],Tétano do recém-nascido [neonatal]
Tétano obstétrico,Tétano obstétrico
Outros tipos de tétano,Outros tipos de tétano
Difteria,Difteria faríngea
Difteria,Difteria nasofaríngea
Difteria,Difteria laríngea
Difteria,Difteria cutânea
Difteria,Outras formas de difteria
Difteria,Difteria não especificada
Coqueluche,Coqueluche por Bordetella pertussis
Coqueluche,Coqueluche por Bordetella parapertussis
Coqueluche,Coqueluche por outras espécies da Bordetella
Coqueluche,Coqueluche não especificada
Escarlatina,Escarlatina
Infecção meningogócica,Meningite meningocócica
Infecção meningogócica,Síndrome de Waterhouse-Friderichsen
Infecção meningogócica,Meningococcemia aguda
Infecção meningogócica,Meningococcemia crônica
Infecção meningogócica,Meningococcemia não especificada
Infecção meningogócica,Cardite por meningococos
Infecção meningogócica,Outras infecções por meningococos
Infecção meningogócica,Infecção meningocócica não especificada
Septicemia estreptocócica,Septicemia por Streptococcus do grupo A
Septicemia estreptocócica,Septicemia por Streptococcus do grupo B
Septicemia estreptocócica,Septicemia por Streptococcus do grupo D
Septicemia estreptocócica,Septicemia por Streptococcus pneumonia
Septicemia estreptocócica,Outras septicemias estreptocócicas
Septicemia estreptocócica,Septicemia estreptocócica não especificada
Outras septicemias,Septicemia por Staphylococcus aureus
Outras septicemias,Septicemia por outros estafilococos especificados
Outras septicemias,Septicemia por estafilococos não especificados
Outras septicemias,Septicemia por Haemophilus influenzae
Outras septicemias,Septicemia por anaeróbios
Outras septicemias,Septicemia por outros microorganismos gram-negativos
Outras septicemias,Outras septicemias especificadas
Outras septicemias,Septicemia não especificada
Actinomicose,Actinomicose pulmonar
Actinomicose,Actinomicose abdominal
Actinomicose,Actinomicose cervicofacial
Actinomicose,Septicemia actinomicótica
Actinomicose,Outras formas de actinomicose
Actinomicose,Actinomicose não especificada
Nocardiose,Nocardiose pulmonar
Nocardiose,Nocardiose cutânea
Nocardiose,Outras formas de nocardiose
Nocardiose,Nocardiose não especificada
Bartonelose,Bartonelose sistêmica
Bartonelose,Bartonelose cutânea e cutâneo-mucosa
Bartonelose,Outras formas de bartonelose
Bartonelose,Bartonelose não especificada
Erisipela,Erisipela
Outras doenças bacterianas não classificadas em outra parte,Gangrena gasosa
Outras doenças bacterianas não classificadas em outra parte,Doença dos legionários
Outras doenças bacterianas não classificadas em outra parte,Doença dos legionários não-pneumônica [febre de Pontiac]
Outras doenças bacterianas não classificadas em outra parte,Síndrome do choque tóxico
Outras doenças bacterianas não classificadas em outra parte,Febre purpúrica do Brasil
Outras doenças bacterianas não classificadas em outra parte,Outras doenças bacterianas especificadas
Infecção bacteriana de localização não especificada,Infecção estafilocócica de localização não especificada
Infecção bacteriana de localização não especificada,Infecção estreptocócica de localização não especificada
Infecção bacteriana de localização não especificada,Infecção por Haemophilus influenzae de localização não especificada
Infecção bacteriana de localização não especificada,Infecção por Mycoplasma de localização não especificada
Infecção bacteriana de localização não especificada,Outras infecções bacterianas de localização não especificada
Infecção bacteriana de localização não especificada,Infecção bacteriana não especificada
Sífilis congênita,Sífilis congênita precoce sintomática
Sífilis congênita,"Sífilis congênita precoce, forma latente"
Sífilis congênita,Sífilis congênita precoce não especificada
Sífilis congênita,Oculopatia sifilítica congênita tardia
Sífilis congênita,Neurossífilis congênita tardia [neurossífilis juvenil]
Sífilis congênita,Outras formas tardias e sintomáticas da sífilis congênita
Sífilis congênita,Sífilis congênita tardia latente
Sífilis congênita,Sífilis congênita tardia não especificada
Sífilis congênita,Sífilis congênita não especificada
Sífilis precoce,Sífilis genital primária
Sífilis precoce,Sífilis anal primária
Sífilis precoce,Sífilis primária de outras localizações
Sífilis precoce,Sífilis secundária da pele e das mucosas
Sífilis precoce,Outras formas de sífilis secundária
Sífilis precoce,Sífilis precoce latente
Sífilis precoce,Sífilis precoce não especificada
Sífilis tardia,Sífilis cardiovascular
Sífilis tardia,Neurossífilis sintomática
Sífilis tardia,Neurossífilis assintomática
Sífilis tardia,Neurossífilis não especificada
Sífilis tardia,Outras formas de sífilis tardia sintomática
Sífilis tardia,Sífilis tardia latente
Sífilis tardia,Sífilis tardia não especificada
Outras formas e as não especificadas da sífilis,"Sífilis latente, não especificada se recente ou tardia"
Outras formas e as não especificadas da sífilis,Sífilis não especificada
Infecção gonocócica,"Infecção gonocócica do trato geniturinário inferior, sem abscesso periuretral ou das glândulas acessórias"
Infecção gonocócica,"Infecção gonocócica do trato geniturinário inferior, com abscesso periuretral ou das glândulas acessórias"
Infecção gonocócica,Pelviperitonite gonocócica e outras infecções geniturinárias gonocócicas
Infecção gonocócica,Infecção gonocócica do olho
Infecção gonocócica,Infecção gonocócica do sistema músculo-esquelético
Infecção gonocócica,Faringite gonocócica
Infecção gonocócica,Infecção gonocócica do ânus ou do reto
Infecção gonocócica,Outras infecções gonocócicas
Infecção gonocócica,Infecção gonocócica não especificada
Linfogranuloma (venéreo) por clamídia,Linfogranuloma (venéreo) por clamídia
Outras infecções causadas por clamídias transmitidas por via sexual,Infecções por clamídias do trato geniturinário inferior
Outras infecções causadas por clamídias transmitidas por via sexual,"Infecção por clamídias, pelviperitonial e de outros órgãos geniturinários"
Outras infecções causadas por clamídias transmitidas por via sexual,"Infecção por clamídias do trato geniturinário, localização não especificada"
Outras infecções causadas por clamídias transmitidas por via sexual,Infecção do ânus e do reto por clamídias
Outras infecções causadas por clamídias transmitidas por via sexual,Infecção da faringe por clamídias
Outras infecções causadas por clamídias transmitidas por via sexual,"Infecção por clamídias transmitida por via sexual, de outras localizações"
Cancro mole,Cancro mole
Granuloma inguinal,Granuloma inguinal
Tricomoníase,Tricomoníase urogenital
Tricomoníase,Outras localizações de tricomoníase
Tricomoníase,Tricomoníase não especificada
Infecções anogenitais pelo vírus do herpes [herpes simples],Infecção dos órgãos genitais e do trato geniturinário pelo vírus do herpes
Infecções anogenitais pelo vírus do herpes [herpes simples],Infecção da margem cutânea do ânus e do reto pelo vírus do herpes
Infecções anogenitais pelo vírus do herpes [herpes simples],Infecção anogenital não especificada pelo vírus do herpes
"Outras doenças de transmissão predominantemente sexual, não classificadas em outra parte",Verrugas anogenitais (venéreas)
"Outras doenças de transmissão predominantemente sexual, não classificadas em outra parte",Outras doenças especificadas de transmissão predominantemente sexual
"Doenças sexualmente transmitidas, não especificadas","Doenças sexualmente transmitidas, não especificadas"
Sífilis não-venérea,Sífilis não-venérea
Bouba,Lesões iniciais da bouba
Bouba,Papilomas múltiplos e bouba plantar úmida (cravo de bouba)
Bouba,Outras lesões cutâneas precoces da bouba
Bouba,Hiperceratose devida a bouba
Bouba,Gomas e úlceras devidas à bouba
Bouba,Gangosa
Bouba,Lesões osteoarticulares devidas à bouba
Bouba,Outras manifestações da bouba
Bouba,Bouba latente
Bouba,Bouba não especificada
Pinta [carate],Lesões primárias da pinta
Pinta [carate],Lesões intermediárias da pinta
Pinta [carate],Lesões tardias da pinta
Pinta [carate],Lesões mistas da pinta
Pinta [carate],Pinta não especificada
Febres recorrentes [Borrelioses],Febre recorrente transmitida por piolhos
Febres recorrentes [Borrelioses],Febre recorrente transmitida por carrapatos
Febres recorrentes [Borrelioses],Febre recorrente não especificada
Outras infecções por espiroquetas,Estomatite ulcerativa necrotizante
Outras infecções por espiroquetas,Outras infecções de Vincent
Outras infecções por espiroquetas,Doença de Lyme
Outras infecções por espiroquetas,Outras infecções especificadas por espiroquetas
Outras infecções por espiroquetas,"Infecção por espiroqueta, não especificada"
Infecções causadas por Clamídia psittaci,Infecções causadas por Clamídia psittaci
Tracoma,Fase inicial do tracoma
Tracoma,Fase ativa do tracoma
Tracoma,Tracoma não especificado
Outras doenças causadas por Clamídias,Conjuntivite causada por clamídias
Outras doenças causadas por Clamídias,Outras doenças causadas por clamídias
Outras doenças causadas por Clamídias,Infecção causada por clamídias não especificada
Tifo exantemático,Tifo epidêmico transmitido por piolhos devido a Rickettsia prowazekii
Tifo exantemático,Tifo recrudescente [doença de Brill]
Tifo exantemático,Tifo por Rickettsia typhi
Tifo exantemático,Tifo por Rickettsia tsutsugamuchi
Tifo exantemático,Tifo não especificado
Febre maculosa [rickettsioses transmitidas por carrapatos],Febre maculosa por Rickettsia richettsii
Febre maculosa [rickettsioses transmitidas por carrapatos],Febre maculosa por Rickettsia conorii
Febre maculosa [rickettsioses transmitidas por carrapatos],Febre maculosa devida à Rickettsia siberica
Febre maculosa [rickettsioses transmitidas por carrapatos],Febre maculosa devida à Rickettsia australis
Febre maculosa [rickettsioses transmitidas por carrapatos],Outras febres maculosas
Febre maculosa [rickettsioses transmitidas por carrapatos],Febre maculosa não especificada
Febre Q,Febre Q
Outras rickettsioses,Febre das trincheiras
Outras rickettsioses,Rickettsiose variceliforme devida à Rickettsia akari
Outras rickettsioses,Outros tipos de rickettsioses especificadas
Outras rickettsioses,Rickettsiose não especificada
Poliomielite aguda,"Poliomielite paralítica aguda, associada ao vírus vacinal"
Poliomielite aguda,"Poliomielite paralítica aguda, vírus selvagem importado"
Poliomielite aguda,"Poliomielite paralítica aguda, vírus selvagem indígena"
Poliomielite aguda,"Poliomielites paralíticas agudas, outras e não especificadas"
Poliomielite aguda,Poliomielite aguda não-paralítica
Poliomielite aguda,Poliomielite aguda não especificada
Infecções por vírus atípicos do sistema nervoso central,Doença de Creutzfeldt-Jakob
Infecções por vírus atípicos do sistema nervoso central,Panencefalite esclerosante subaguda
Infecções por vírus atípicos do sistema nervoso central,Leucoencefalopatia multifocal progressiva
Infecções por vírus atípicos do sistema nervoso central,Outras infecções por vírus atípicos do sistema nervoso central
Infecções por vírus atípicos do sistema nervoso central,Infecção não especificada do sistema nervosos central por vírus atípicos
Raiva,Raiva silvestre
Raiva,Raiva urbana
Raiva,Raiva não especificada
Encefalite por vírus transmitidos por mosquitos,Encefalite japonesa
Encefalite por vírus transmitidos por mosquitos,Encefalite eqüina ocidental
Encefalite por vírus transmitidos por mosquitos,Encefalite eqüina oriental
Encefalite por vírus transmitidos por mosquitos,Encefalite de St. Louis
Encefalite por vírus transmitidos por mosquitos,Encefalite australiana
Encefalite por vírus transmitidos por mosquitos,Encefalite da Califórnia
Encefalite por vírus transmitidos por mosquitos,Doença pelo vírus de Rocio
Encefalite por vírus transmitidos por mosquitos,Outras encefalites por vírus transmitidas por mosquitos
Encefalite por vírus transmitidos por mosquitos,Encefalite não especificada por vírus transmitida por mosquitos
Encefalite por vírus transmitido por carrapatos,Encefalite da taiga [encefalite vernoestival russa]
Encefalite por vírus transmitido por carrapatos,Encefalite da Europa Central transmitida por carrapatos
Encefalite por vírus transmitido por carrapatos,Outras encefalites por vírus transmitidas por carrapatos
Encefalite por vírus transmitido por carrapatos,Encefalite não especificada por vírus transmitida por carrapatos
"Outras encefalites virais, não classificadas em outra parte",Encefalite por enterovírus
"Outras encefalites virais, não classificadas em outra parte",Encefalite por adenovírus
"Outras encefalites virais, não classificadas em outra parte","Encefalite por vírus transmitido por artrópodes, não especificada"
"Outras encefalites virais, não classificadas em outra parte",Outras encefalites virais especificadas
"Encefalite viral, não especificada","Encefalite viral, não especificada"
Meningite viral,Meningite por enterovírus
Meningite viral,Meningite por adenovírus
Meningite viral,Coriomeningite linfocitária
Meningite viral,Outras meningites virais
Meningite viral,Meningite viral não especificada
Outras infecções virais do sistema nervoso central não classificadas em outra parte,Febre exantemática por enterovírus [exantema de Boston]
Outras infecções virais do sistema nervoso central não classificadas em outra parte,Vertigem epidêmica
Outras infecções virais do sistema nervoso central não classificadas em outra parte,Outras infecções virais especificadas do sistema nervoso central
Infecções virais não especificadas do sistema nervoso central,Infecções virais não especificadas do sistema nervoso central
Dengue [dengue clássico],Dengue [dengue clássico]
Febre hemorrágica devida ao vírus do dengue,Febre hemorrágica devida ao vírus do dengue
Outras febres virais transmitidas por mosquitos,Febre de Chikungunya
Outras febres virais transmitidas por mosquitos,Febre de O'nyong-nyong
Outras febres virais transmitidas por mosquitos,Febre eqüina venezuelana
Outras febres virais transmitidas por mosquitos,Infecção pelo vírus West Nile
Outras febres virais transmitidas por mosquitos,Febre do vale do Rift
Outras febres virais transmitidas por mosquitos,Outras febres virais especificadas transmitidas por mosquitos
Outras febres virais transmitidas por mosquitos,"Febre viral transmitida por mosquitos, não especificada"
Outras febres por vírus transmitidas por artrópodes não classificadas em outra parte,Febre de Oropouche
Outras febres por vírus transmitidas por artrópodes não classificadas em outra parte,Febre por flebótomos
Outras febres por vírus transmitidas por artrópodes não classificadas em outra parte,Febre do Colorado transmitida por carrapatos
Outras febres por vírus transmitidas por artrópodes não classificadas em outra parte,Outras febres virais especificadas transmitidas por artrópodes
"Febre viral transmitida por artrópodes, não especificada","Febre viral transmitida por artrópodes, não especificada"
Febre amarela,Febre amarela silvestre
Febre amarela,Febre amarela urbana
Febre amarela,Febre amarela não especificada
Febre hemorrágica por arenavírus,Febre hemorrágica de Junin
Febre hemorrágica por arenavírus,Febre hemorrágica de Machupo
Febre hemorrágica por arenavírus,Febre de Lassa
Febre hemorrágica por arenavírus,Outras febres hemorrágicas por arenavírus
Febre hemorrágica por arenavírus,"Febre hemorrágica por arenavírus, não especificada"
"Outras febres hemorrágicas por vírus, não classificadas em outra parte",Febre hemorrágica da Criméia (do Congo)
"Outras febres hemorrágicas por vírus, não classificadas em outra parte",Febre hemorrágica de Omsk
"Outras febres hemorrágicas por vírus, não classificadas em outra parte",Doença da floresta de Kyasanur
"Outras febres hemorrágicas por vírus, não classificadas em outra parte",Doença de Marburg
"Outras febres hemorrágicas por vírus, não classificadas em outra parte",Doença pelo vírus Ebola
"Outras febres hemorrágicas por vírus, não classificadas em outra parte",Febre hemorrágica com síndrome renal
"Outras febres hemorrágicas por vírus, não classificadas em outra parte",Outras febres hemorrágicas especificadas por vírus
Febres hemorrágicas virais não especificadas,Febres hemorrágicas virais não especificadas
Infecções pelo vírus do herpes [herpes simples],Eczema herpético
Infecções pelo vírus do herpes [herpes simples],Dermatite vesicular devido ao vírus do herpes
Infecções pelo vírus do herpes [herpes simples],Gengivoestomatite e faringoamigdalite devida ao vírus do herpes
Infecções pelo vírus do herpes [herpes simples],Meningite devida ao vírus do herpes
Infecções pelo vírus do herpes [herpes simples],Encefalite devida ao vírus do herpes
Infecções pelo vírus do herpes [herpes simples],Afecções oculares devidas ao vírus do herpes
Infecções pelo vírus do herpes [herpes simples],Doença disseminada devida ao vírus do herpes
Infecções pelo vírus do herpes [herpes simples],Outras formas de infecção devida ao vírus do herpes
Infecções pelo vírus do herpes [herpes simples],Infecção não especificada devida ao vírus do herpes
Varicela [Catapora],Meningite por varicela
Varicela [Catapora],Encefalite por varicela
Varicela [Catapora],Pneumopatia varicelosa
Varicela [Catapora],Varicela com outras complicações
Varicela [Catapora],Varicela sem complicação
Herpes zoster [Zona],Encefalite pelo vírus do herpes zoster
Herpes zoster [Zona],Meningite pelo vírus do herpes zoster
Herpes zoster [Zona],Herpes zoster acompanhado de outras manifestações neurológicas
Herpes zoster [Zona],Herpes zoster oftálmico
Herpes zoster [Zona],Herpes zoster disseminado
Herpes zoster [Zona],Herpes zoster com outras complicações
Herpes zoster [Zona],Herpes zoster sem complicação
Varíola,Varíola
Varíola dos macacos [Monkeypox],Varíola dos macacos [Monkeypox]
Sarampo,Sarampo complicado por encefalite
Sarampo,Sarampo complicado por meningite
Sarampo,Sarampo complicado por pneumonia
Sarampo,Sarampo complicado por otite média
Sarampo,Sarampo com complicações intestinais
Sarampo,Sarampo com outras complicações
Sarampo,Sarampo sem complicação
Rubéola,Rubéola com complicações neurológicas
Rubéola,Rubéola com outras complicações
Rubéola,Rubéola sem complicação
Verrugas de origem viral,Verrugas de origem viral
"Outras infecções virais caracterizadas por lesões da pele e das membranas mucosas, não classificadas em outra parte",Outras infecções por ortopoxvírus
"Outras infecções virais caracterizadas por lesões da pele e das membranas mucosas, não classificadas em outra parte",Molusco contagioso
"Outras infecções virais caracterizadas por lesões da pele e das membranas mucosas, não classificadas em outra parte",Exantema súbito [sexta doença]
"Outras infecções virais caracterizadas por lesões da pele e das membranas mucosas, não classificadas em outra parte",Eritema infeccioso [quinta doença]
"Outras infecções virais caracterizadas por lesões da pele e das membranas mucosas, não classificadas em outra parte",Estomatite vesicular devida a enterovírus com exantema
"Outras infecções virais caracterizadas por lesões da pele e das membranas mucosas, não classificadas em outra parte",Faringite vesicular devida a enterovírus
"Outras infecções virais caracterizadas por lesões da pele e das membranas mucosas, não classificadas em outra parte",Outras infecções virais especificadas caracterizadas por lesões de pele e das membranas mucosas
Infecção viral não especificada caracterizada por lesões da pele e membranas mucosas,Infecção viral não especificada caracterizada por lesões da pele e membranas mucosas
Hepatite aguda A,Hepatite A com coma hepático
Hepatite aguda A,Hepatite A sem coma hepático
Hepatite aguda B,"Hepatite aguda B com agente Delta (co-infecção), com coma hepático"
Hepatite aguda B,"Hepatite aguda B com agente Delta, (co-infecção), sem coma hepático"
Hepatite aguda B,"Hepatite aguda B sem agente Delta, com coma hepático"
Hepatite aguda B,Hepatite aguda B sem agente Delta e sem coma hepático
Outras hepatites virais agudas,(Super)infecção Delta aguda de portador de hepatite B
Outras hepatites virais agudas,Hepatite aguda C
Outras hepatites virais agudas,Hepatite aguda E
Outras hepatites virais agudas,Outras hepatites virais agudas especificadas
Hepatite viral crônica,Hepatite viral crônica B com agente Delta
Hepatite viral crônica,Hepatite crônica viral B sem agente Delta
Hepatite viral crônica,Hepatite viral crônica C
Hepatite viral crônica,Outras hepatites crônicas virais
Hepatite viral crônica,Hepatite viral crônica não especificada
