Grupo,Sintomas (termos)
Cérebro e sistema nervoso,interferencia na rotina
Cérebro e sistema nervoso,Isolamento
Cérebro e sistema nervoso,mãos frias e úmidas
Cérebro e sistema nervoso,medo intenso
Cérebro e sistema nervoso,Mudança na rotina de sono
Cérebro e sistema nervoso,Outros sintomas
Cérebro e sistema nervoso,pensamento lento
Cérebro e sistema nervoso,Perda de equilíbrio
Cérebro e sistema nervoso,Problemas de memória
Cérebro e sistema nervoso,Problemas de sono
Cérebro e sistema nervoso,sensação de asfixia
Cérebro e sistema nervoso,sonolência
Cérebro e sistema nervoso,suor
Cérebro e sistema nervoso,Tensão constante
Cérebro e sistema nervoso,tristeza patológica
Cérebro e sistema nervoso,Tremor
Cérebro e sistema nervoso,Ansiedade
Cérebro e sistema nervoso,Insônia
Cérebro e sistema nervoso,Catatonia
Cérebro e sistema nervoso,Disartria
Cérebro e sistema nervoso,Movimentos incontroláveis das pernas durante o sono
Cérebro e sistema nervoso,Lentidão dos movimentos
Cérebro e sistema nervoso,Má coordenação motora
Cérebro e sistema nervoso,Movimentos involuntários (não intencionais) (como tiques)
Cérebro e sistema nervoso,"Perda de sensibilidade ao tato, ao frio, ao calor ou à dor"
Cérebro e sistema nervoso,Perda do sentido de posição (saber onde as partes do corpo estão no espaço)
Cérebro e sistema nervoso,Sensação de formigamento ou picadas
Cérebro e sistema nervoso,Memória fraca
Cérebro e sistema nervoso,Negligência de um lado do corpo ou negação de sua existência (muitas vezes por conta de uma lesão cerebral)
Cérebro e sistema nervoso,Perda da visão parcial ou completa
Cérebro e sistema nervoso,Perturbações do olfato e paladar
Cérebro e sistema nervoso,Dor ao longo de uma via nervosa (como na ciática ou herpes zóster)
Cérebro e sistema nervoso,Alucinações visuais
Cérebro e sistema nervoso,Ataxia cerebelar
Cérebro e sistema nervoso,Paralisia
Disfunção muscular,Anomalias na locomoção
Disfunção muscular,"Inflexibilidade, rigidez e espasticidade (espasmos musculares resultantes de rigidez muscular)"
Dor,Dor no pescoço
Dor,contusões
Dor,dispareunia
Dor,epistaxe
Dor,vaginismo
"Endócrinas, nutricionais e metabólicas",Alteração menstrual
"Endócrinas, nutricionais e metabólicas",Alterações de glicemia
"Endócrinas, nutricionais e metabólicas",Alterações do colesterol
"Endócrinas, nutricionais e metabólicas",Depressão
"Endócrinas, nutricionais e metabólicas",Dores articulares
"Endócrinas, nutricionais e metabólicas",irritabilidade
"Endócrinas, nutricionais e metabólicas",fraqueza
"Endócrinas, nutricionais e metabólicas",Ansiedade
"Endócrinas, nutricionais e metabólicas",Ciclo menstrual irregular
"Endócrinas, nutricionais e metabólicas",Confusão ou perda de consciência por breves momentos
"Endócrinas, nutricionais e metabólicas",Desidratação
"Endócrinas, nutricionais e metabólicas",dificuldade de concentração
"Endócrinas, nutricionais e metabólicas",dores nas pernas
"Endócrinas, nutricionais e metabólicas",fadiga crônica e desânimo
"Endócrinas, nutricionais e metabólicas",Fadiga severa
"Endócrinas, nutricionais e metabólicas",falta de apetite
"Endócrinas, nutricionais e metabólicas",Frequência cardíaca muito lenta
"Endócrinas, nutricionais e metabólicas",Intensa e inexplicável dor de cabeça
"Endócrinas, nutricionais e metabólicas",Intolerância à temperatura
"Endócrinas, nutricionais e metabólicas",lapsos de memória
"Endócrinas, nutricionais e metabólicas",obstipação
"Endócrinas, nutricionais e metabólicas",pele e mucosas pálidas
"Endócrinas, nutricionais e metabólicas",Pressão arterial muito baixa
"Endócrinas, nutricionais e metabólicas","Problemas oculares, como secura, irritação, pressão ou dor nos olhos"
"Endócrinas, nutricionais e metabólicas",Sede em excesso
"Endócrinas, nutricionais e metabólicas",tonturas e sensação de desmaio
"Endócrinas, nutricionais e metabólicas",unhas fracas ou quebradiças
"Endócrinas, nutricionais e metabólicas",Vomitos e enjoos
Genitourinário,Disfunção erétil
Genitourinário,Dor escrotal
Genitourinário,Ereção persistente (priapismo)
Genitourinário,frequência urinária
Genitourinário,hematúria
Genitourinário,impotência
Genitourinário,Inchaço escrotal
Genitourinário,Incontinência urinária em adultos
Genitourinário,Incontinência urinária em crianças (enurese)
Genitourinário,Micção com dor ou queimação (disúria)
Genitourinário,Retenção urinária
Genitourinário,"Urina, Sangue na (hematuria)"
Gerais,Arritmia
Gerais,Falta de ar (dispneia)
Gerais,Cefaleia
Gerais,Inchaço (edema)
Gerais,Ácido úrico
Gerais,AIDS - HIV
Gerais,Alcoolismo
Gerais,Alergia alimentar
Gerais,Alergias
Gerais,Alterações de comportamento e personalidade
Gerais,Alterações hormonais
Gerais,Coceira
Gerais,Desânimo
Gerais,Dor no nervo ciático
Gerais,eczema
Gerais,excitabilidade neuromuscular exacerbada
Gerais,"Febre em bebês e crianças (febre, crônica ou de origem desconhecida)"
Gerais,"Febre, aguda, em adultos"
Gerais,Formação de hematomas e hemorragia
Gerais,Formigamento nas mãos
Gerais,Fraqueza
Gerais,"Fraqueza, generalizada"
Gerais,Icterícia em adultos
Gerais,Inchaço dos linfonodos (linfadenopatia)
Gerais,malaise
Gerais,pyrexia
Gerais,Retenção de líquidos
Gerais,unhas quebradiças
Gerais,Dor abdominal
Gerais,Soluço
Gerais,Icterícia
Gerais ,Urticária
Gerais ,Fadiga
Ginecológicos e obstétricos,Cólicas menstruais (dismenorreia)
Ginecológicos e obstétricos,Dor pélvica durante a gravidez precoce
Ginecológicos e obstétricos,Dor pélvica durante o início da gravidez
Ginecológicos e obstétricos,Dor pélvica no início da gestação
Ginecológicos e obstétricos,Inchaço durante a gravidez tardia (edema durante a gravidez tardia)
Ginecológicos e obstétricos,Inchaço durante o final da gravidez (edema durante a parte final da gravidez)
Ginecológicos e obstétricos,Inchaço no final da gestação (edema no final da gestação)
Ginecológicos e obstétricos,Nódulos na mama
Ginecológicos e obstétricos,Sangramento vaginal durante a gravidez precoce
Ginecológicos e obstétricos,Sangramento vaginal durante a gravidez tardia
Ginecológicos e obstétricos,Secreção no mamilo
Ginecológicos e obstétricos,Secreção vaginal
Infecção,cansaço
Infecção,disúria
Infecção,adinamia
Infecção,Caroço no pescoço
Infecção,dor torácica e abdominal
Infecção,esplenomegalia
Infecção,estertores pulmonares e sopros cardíacos
Infecção,hepatomegalia
Infecção,lacrimejamento
Infecção,Lesões e / ou corrimentos genitais
Infecção,Massa cervical
Infecção,presença de gânglios palpáveis
Infecção,rash cutâneo
Infecção,rigidez de nuca
Infecção,sensação de mal-estar indefinido
MeSH,Disúria
MeSH,Polyuria
MeSH,Alucinações
MeSH,Reticulocitose
MeSH,Dor de ouvido
MeSH,Dor pélvica
MeSH,Fraqueza muscular
MeSH,Perda de peso
MeSH,Dor
MeSH,Prurido
MeSH,Ganho de peso
MeSH,Tontura
MeSH,Distúrbios do sono
MeSH,Paralisia
MeSH,Dor nas costas
MeSH,Surdez
MeSH,Vertigem
MeSH,Estupor
MeSH,Coma
MeSH,Dor nos olhos
MeSH,Fadiga
MeSH,Ronco
MeSH,Vomitando
MeSH,Palidez
MeSH,Hirsutismo
MeSH,Púrpura
MeSH,Tremor
MeSH,Catatonia
MeSH,Disartria
MeSH,Icterícia
MeSH,Febre
MeSH,Tosse
MeSH,Soluço
MeSH,Dispepsia
MeSH,Náusea
MeSH,Anorexia
MeSH,Flatulência
MeSH,Ataxia cerebelar
MeSH,Dor lombar
MeSH,Dor abdominal
MeSH,Hemoptise
MeSH,Dispnéia
MeSH,Hiperventilação
MeSH,Síncope
MeSH,Hipotermia
MeSH,Abdômen
MeSH,adquirida
MeSH,Aerofagia
MeSH,Afasia
MeSH,Afasia não fluente progressiva primária
MeSH,Afonia
MeSH,Ageusia
MeSH,Agitação psicomotora
MeSH,Agnosia
MeSH,Agraphia
MeSH,agudo
MeSH,Akithia
MeSH,Albuminúria
MeSH,Alexia
MeSH,alta frequência
MeSH,alto
MeSH,Amaurose Shy
MeSH,Ambliopia
MeSH,Amnésia
MeSH,Angina
MeSH,Anisocoria
MeSH,Anomia
MeSH,anormal
MeSH,Anóxia
MeSH,antecipatório
MeSH,anterógrada
MeSH,Apnéia
MeSH,Apraxia
MeSH,Apraxias
MeSH,Arrepios
MeSH,Arthralgia
MeSH,Aspiração respiratória
MeSH,Astenia
MeSH,Ataxia
MeSH,Ataxia da marcha
MeSH,Atetose
MeSH,Atrofia muscular
MeSH,Azia
MeSH,Babinski
MeSH,baixa
MeSH,baixo
MeSH,Baú da angina
MeSH,Bexiga urinária
MeSH,bilateral
MeSH,Broca
MeSH,Bulimia
MeSH,Cãibra muscular
MeSH,Caquexia
MeSH,cardíaco
MeSH,Catalepsia
MeSH,Cegueira
MeSH,central
MeSH,Cianose
MeSH,Ciática
MeSH,Claudicação intermitente
MeSH,Cólica
MeSH,Cólica renal
MeSH,condução
MeSH,condutor
MeSH,Confusão
MeSH,Constipação
MeSH,Convulsões
MeSH,Coprofagia
MeSH,Coréia
MeSH,cortical
MeSH,Débito cardíaco
MeSH,Defeitos de visão de cores
MeSH,Delírio
MeSH,desejar
MeSH,Diarréia
MeSH,Diplopia
MeSH,Disfonia
MeSH,Diskinesias
MeSH,Dislexia
MeSH,Dismenorreia
MeSH,Distonia
MeSH,Distúrbios auditivos
MeSH,Distúrbios da articulação
MeSH,Distúrbios da comunicação
MeSH,Distúrbios da consciência
MeSH,Distúrbios da fala
MeSH,Distúrbios da linguagem
MeSH,Distúrbios da marcha
MeSH,Distúrbios da memória
MeSH,Distúrbios da Olfação
MeSH,Distúrbios da sensação
MeSH,Distúrbios da visão
MeSH,Distúrbios de aprendizagem
MeSH,Distúrbios de voz
MeSH,Distúrbios do aluno
MeSH,Distúrbios do desenvolvimento de idiomas
MeSH,Distúrbios perceptivos
MeSH,Distúrbios perceptivos auditivos
MeSH,Distúrbios psicofisiológicos
MeSH,Distúrbios psicomotores
MeSH,Distúrbios somatossensoriais
MeSH,Distúrbios surdos e extras
MeSH,Doença de movimento
MeSH,Doença do movimento espacial
MeSH,Doença suando
MeSH,Dor de dente
MeSH,Dor de flanco
MeSH,Dor de parto
MeSH,Dor de pescoço
MeSH,Dor facial
MeSH,Dor no ombro
MeSH,Dor no peito
MeSH,Dysgeusia
MeSH,Dyspnea
MeSH,ECCIMOSE
MeSH,ECOPRESES
MeSH,Edema
MeSH,Emagrecimento
MeSH,Emolia
MeSH,Engasgando
MeSH,Engasgar
MeSH,Enjoo matinal
MeSH,Envelhecimento
MeSH,Eritema migratório necrolítico
MeSH,Eructação
MeSH,Espasmo
MeSH,Espasmo hemifacial
MeSH,espástica
MeSH,Espasticidade muscular
MeSH,Espirrando
MeSH,Estado Decerebrado
MeSH,Estado vegetativo persistente
MeSH,estresse
MeSH,Evento aparente infantil com risco de vida
MeSH,externo progressivo crônico
MeSH,Fadiga mental
MeSH,Fasciculação
MeSH,Febre de origem desconhecida
MeSH,Feminização
MeSH,Fotofobia
MeSH,Fulminans roxos
MeSH,funcional
MeSH,Gastroparesia
MeSH,Global Transiente
MeSH,Glossalgia
MeSH,Halitose
MeSH,Hematemesis
MeSH,Hemianopsia
MeSH,Hemiplegia
MeSH,Hemoglobinúria
MeSH,Hemorragia ocular
MeSH,Hemorragia oral
MeSH,Hidropisia fetal
MeSH,Hipentilação
MeSH,Hiperacusia
MeSH,Hiperalgesia
MeSH,hiperativa
MeSH,Hipercalciuria
MeSH,Hipercapnia
MeSH,Hipercinesia
MeSH,Hiperemesesis grávida
MeSH,Hiperestesia
MeSH,Hiperfagia
MeSH,Hipergamglobulinemia
MeSH,hiperglobulinêmico
MeSH,Hiperóxia
MeSH,Hipertonia muscular
MeSH,Hipestesia
MeSH,Hipocapnia
MeSH,Hipocinesia
MeSH,Hipotonia muscular
MeSH,Hipóxia fetal
MeSH,ideomotor
MeSH,idiopático
MeSH,Ilusões
MeSH,Inconsciência
MeSH,Incontinência urinária
MeSH,induzida por drogas
MeSH,induzida por ruído
MeSH,infantil
MeSH,instável
MeSH,Intolerância ortostática
MeSH,intratável
MeSH,Lavagem
MeSH,Letargia
MeSH,Limbo fantasma
MeSH,Limitação de mobilidade
MeSH,LiveDo reticularis
MeSH,Macrossomia fetal
MeSH,Manifestações de pele
MeSH,Manifestações neurocomportamentais
MeSH,Manifestações neurológicas
MeSH,Manifestações oculares
MeSH,Manifestações orais
MeSH,Marcha apraxia
MeSH,Meningismo
MeSH,Metatarsgia
MeSH,Mioclonia
MeSH,Miokimia
MeSH,Miose
MeSH,Miotonia
MeSH,mista-sensorineural
MeSH,mórbida
MeSH,Mudanças de peso corporal
MeSH,Murmúrios sistólicos
MeSH,Mutismo
MeSH,Náusea e vômito pós-operatórios
MeSH,Neuralgia
MeSH,neurinhaural
MeSH,neurogênica
MeSH,neurológicos
MeSH,Noctúria
MeSH,Obesidade
MeSH,obstrutiva
MeSH,Oligúria
MeSH,Ondas de calor
MeSH,Ophthalmoplegia
MeSH,Otorréia do fluido cefalorraquidiano
MeSH,Paralisia do cordão vocal
MeSH,Paralisia facial
MeSH,Paralisia Pseudobulbar
MeSH,Paralisia respiratória
MeSH,Paralisia supranuclear
MeSH,Paraparesia
MeSH,Paraplegia
MeSH,Paresia
MeSH,Parestesia
MeSH,paroxística
MeSH,Pé de tinea
MeSH,Peito angina
MeSH,Perda auditiva
MeSH,Perda de audição
MeSH,Peso ao nascer
MeSH,Peso corporal
MeSH,Peso fetal
MeSH,Pontos de Cafe-au-à
MeSH,pós-operatório
MeSH,pós-pó
MeSH,prematuro
MeSH,Presbycusis
MeSH,PRESOPAGNOSIA
MeSH,Privação de sono
MeSH,progressiva
MeSH,progressiva primária
MeSH,Prostatismo
MeSH,Proteinúria
MeSH,Pseudophakia
MeSH,Pupila tônica
MeSH,pura
MeSH,Quisriplegia
MeSH,referida
MeSH,Reflex
MeSH,Reflexo
MeSH,repentina
MeSH,Respiração Cheyne-Stokes
MeSH,Respiração na boca
MeSH,Retardo mental
MeSH,retrógrada
MeSH,Rigidez muscular
MeSH,Rinorréia do líquido cefalorraquidiano
MeSH,Rouquidão
MeSH,Sarcopenia
MeSH,Schoenlein-Henoch
MeSH,Scotoma
MeSH,Síndrome coronariana aguda
MeSH,Síndrome da mão alienígena
MeSH,Síndrome de Brown-sequard
MeSH,Síndrome de Gerstmann
MeSH,Síndrome de Horner
MeSH,Síndrome de Korsakoff
MeSH,Síndrome de Susac
MeSH,Síndrome de Waterhouse-Friderichsen
MeSH,Síndrome do músculo piriforme
MeSH,Síndrome do ventrículo de fenda
MeSH,Síndromes de Usher
MeSH,Sobrepeso
MeSH,Sofrimento fetal
MeSH,Sons respiratórios
MeSH,Sopros cardíacos
MeSH,Striiae distense
MeSH,Synkinesis
MeSH,Tetany
MeSH,Thinness
MeSH,TICs
MeSH,Toque
MeSH,Torcicolo
MeSH,Transtornos do gosto
MeSH,Trismus
MeSH,trombocitopênico
MeSH,trombocitopênico trombótico
MeSH,unilateral
MeSH,Urina
MeSH,varia
MeSH,Vasovagal
MeSH,Virilismo
MeSH,Visão
MeSH,Wernicke
Neoplasias [tumores],dor persistente sem causa definida
Neoplasias [tumores],manchas suspeitas na pele;
Neoplasias [tumores],perda de peso sem motivo aparente
Neoplasias [tumores],sangramento nas fezes ou na urina;
Neoplasias [tumores],surgimento de nódulos;
Ocular,Dores de cabeça
Ocular,Visão Dupla (Diplopia)
Ocular,Visão embaçada
Ocular,Anisocoria; Pupila desigual
Ocular,Dificuldade para distinguir cores
Ocular,Dificuldade para enxergar à noite
Ocular,Dificuldades de se adaptar à luz
Ocular,Dor ocular
Ocular,Edema das pálpebras
Ocular,Forçar a vista para tentar enxergar
Ocular,Histórico de diabetes
Ocular,Histórico de hipertensão
Ocular,Inchados nos olhos
Ocular,mais de um ano desde a sua última consulta
Ocular,Manchas na visão
Ocular,midríase/miose (H570)
Ocular,Moscas volantes
Ocular,nistagmo
Ocular,Olhos lacrimejando
Ocular,Olhos lacrimejantes
Ocular,Olhos salientes (proptose ou exoftalmia)
Ocular,Olhos vermelhos
Ocular,"Olhos, lacrimejantes"
Ocular,"Olhos, Salientes (Proptose ou Exoftalmo)"
Ocular,"Perda de visão, Aguda"
Ocular,Pontos flutuantes
Ocular,Sensação de pressão nos olhos
Ocular,Ter mais de 40 anos
Ocular,Tremor nos olhos
Ocular,Variação da visão
Ocular,Vermelhidão ocular (olho vermelho)
Orais e dentais,Boca seca (xerostomia)
Orais e dentais,Mau hálito (halitose)
Orais e dentais,Afta
Orais e dentais,Feridas e inflamações bucais (Estomatite)
Orais e dentais,retração da linha gengival
Ouvido Nariz e Garganta,zunido no ouvido (acufeno)
Ouvido Nariz e Garganta,Coceira no ouvido
Ouvido Nariz e Garganta,Coriza da congestão nasal (Rinorreia)
Ouvido Nariz e Garganta,Corrimento na congestão nasal (Rinorreia)
Ouvido Nariz e Garganta,Deficiência auditiva
Ouvido Nariz e Garganta,Dificuldade em dormir
Ouvido Nariz e Garganta,dor dentro do ouvido
Ouvido Nariz e Garganta,dor em volta e dentro do ouvido e uma secreção profusa e espessa constituem outros dos sintomas
Ouvido Nariz e Garganta,dor em voltado do ouvido
Ouvido Nariz e Garganta,Nariz entupido
Ouvido Nariz e Garganta,Otorreia (secreção do ouvido)
Ouvido Nariz e Garganta,ouvido externo precionado para os lados e para baixo
Ouvido Nariz e Garganta,Ouvidos inchados
Ouvido Nariz e Garganta,pele da região do ouvido dolorida
Ouvido Nariz e Garganta,pele da região do ouvido vermelha
Ouvido Nariz e Garganta,pele da região do ouvidoinchada
Ouvido Nariz e Garganta,"pele que cobre a apófise mastoide (região do ouvido) pode ficar vermelha, inchada e dolorida"
Ouvido Nariz e Garganta,Perda da audição
Ouvido Nariz e Garganta,Perda da audição: Surdez súbita
Ouvido Nariz e Garganta,Perda de audição: Surdez súbita
Ouvido Nariz e Garganta,pus (abscesso)
Ouvido Nariz e Garganta,região do ouvido inflamada
Ouvido Nariz e Garganta,Ressonar
Ouvido Nariz e Garganta,Secreção no ouvido
Ouvido Nariz e Garganta,Sintomas semelhantes aos da gripe
Ouvido Nariz e Garganta,tontura
Ouvido Nariz e Garganta,zumbido
Cérebro e sistema nervoso,cataplexia
Gerais,hipertermia
Ouvido Nariz e Garganta,tinnitus
Pele e Cabelo,Urticária
Pele e Cabelo,queda de Cabelo (Alopecia)
Pele e Cabelo,Pilosidade (Hirsutismo)
Pele e Cabelo,Acne
Pele e Cabelo,anasarca
Pele e Cabelo,Atrofia (adelgaçamento da pele)
Pele e Cabelo,bolhas (lesão cutânea)
Pele e Cabelo,Brotoeja
Pele e Cabelo,Cicatrizes
Pele e Cabelo,Crostas (cascas) 
Pele e Cabelo,Descamação da pele
Pele e Cabelo,distribuição é ao acaso
Pele e Cabelo,distribuição em padrão (assimétrica)
Pele e Cabelo,distribuição em padrão (simétrica)
Pele e Cabelo,Erosões (áreas abertas da pele)
Pele e Cabelo,Escamas (lesão cutânea)
Pele e Cabelo,"Fenômeno de Koebner (descreve o desenvolvimento de lesões dentro de áreas de trauma [p. ex., causadas por coçadura, atrito ou ferimento])"
Pele e Cabelo,Herpetiforme (descreve pápulas ou vesículas agrupadas dispostas de forma semelhante)
Pele e Cabelo,Induração (espessamento profundo da pele)
Pele e Cabelo,Lesões anulares (anéis com uma área central clara)
Pele e Cabelo,lesões cutâneas pretas
Pele e Cabelo,Lesões em alvo (em olho de boi ou íris; em forma de anel) 
Pele e Cabelo,Lesões lineares
Pele e Cabelo,lesões múltiplas
Pele e Cabelo,Lesões numulares (circulares)
Pele e Cabelo,Lesões reticuladas (têm padrão entrelaçado ou de rede)
Pele e Cabelo,lesões são localizadas em áreas expostas ao sol ou na pele protegida.
Pele e Cabelo,lesões são localizadas em áreas sem exposição (protegidas)  ao sol
Pele e Cabelo,"Lesões serpiginosas (têm elementos lineares, ramificados e curvos)"
Pele e Cabelo,Lesões umbilicadas (têm uma reentrância central e geralmente são virais)
Pele e Cabelo,lesões únicas
Pele e Cabelo,"lesões verrucosas (têm superfície irregular, rugosa ou granular)"
Pele e Cabelo,Máculas (lesões planas e não palpáveis)
Pele e Cabelo,Manchas na pele
Pele e Cabelo,"nódulos (cistos, lipomas e fibromas)"
Pele e Cabelo,Pápulas (lesões elevadas)
Pele e Cabelo,parestesia (R20.2)
Pele e Cabelo,pele alaranjada
Pele e Cabelo,pele de cor amarela
Pele e Cabelo,Pele oleosa
Pele e Cabelo,Pele ressecada - Pele seca
Pele e Cabelo,Pele seca
Pele e Cabelo,pele vermelha (eritema)
Pele e Cabelo,pele violácea (cor da pele)
Pele e Cabelo,Petéquias (pontos focais não branqueados da hemorragia)
Pele e Cabelo,pilosidade
Pele e Cabelo,pilosidade
Pele e Cabelo,placas (lesões palpáveis)
Pele e Cabelo,Pústulas (vesículas que contêm pus)
Pele e Cabelo,Queloides (cicatrizes hipertróficas)
Pele e Cabelo,região couro cabeludo
Pele e Cabelo,região das palmas das mãos
Pele e Cabelo,região das plantas dos pés
Pele e Cabelo,região mucosas
Pele e Cabelo,Sinal de Darier (quando a pele se torna edemaciada após um atrito)
Pele e Cabelo,Sinal de Nikolsky ( é o descolamento da epiderme após uma forte pressão lateral)
Pele e Cabelo,Telangiectasias (pequenos vasos sanguíneos permanentemente dilatados)
Pele e Cabelo,Tonalidade acinzentada
Pele e Cabelo,Tonalidade azul
Pele e Cabelo,Tonalidade prateada
Pele e Cabelo,Úlceras (causadas pela perda da epiderme)
Pele e Cabelo,Unhas verdes 
Pele e Cabelo,vesícula (lesão cutânea da pela)
Pele e Cabelo,Xantomas (são lesões amareladas serosas)
Pele e Cabelo,Zosteriforme (similar aquela do herpes-zóster)
Pele e Cabelo,Urticária
PubMed,Dor de garganta
PubMed,Perda do olfato
PubMed,Amaurose fugaz
PubMed,Ausência de menstruação (amenorreia)
PubMed,Inchaço da pálpebra
PubMed,Olho vermelho relacionado a lentes de contato
PubMed,Alteração no conforto: dor crônica
PubMed,Dificuldade para respirar
PubMed,"Baixa visão, em ambos os olhos"
