Doenca,Classe
Parasitose Intestinal,Parasitose intestinal não especificada
Parto Único,Parto único por cesariana
Pneumoconiose,Pneumoconiose associada com tuberculose
Portador,Portador de doença infecciosa
Queda,Queda de um leito
Queda,Queda de uma cadeira
Retardo Mental,Retardo mental não especificado
Rim Contraído,"Rim contraído, não especificado"
Ruptura Prematura,Ruptura prematura de membranas
Seguimento Envolvendo,Seguimento envolvendo cirurgia plástica
Seqüelas,Seqüelas de outros acidentes
Sexo Indeterminado,Sexo indeterminado e pseudo-hermafroditismo
Síndrome,Síndrome de aspiração neonatal
Síndrome,Síndrome do cólon irritável
Síndrome Nefrítica,Síndrome nefrítica não especificada
Síndrome Nefrítica,Síndrome nefrítica rapidamente progressiva
Síndromes,Síndromes de maus tratos
Supervisão,Supervisão de gravidez normal
Trabalho de Parto,Trabalho de parto pré-termo
Trabalho de Parto,Trabalho de parto prolongado
Transtornos,Transtornos da eliminação transepidérmica
Transtornos,Transtornos da função vestibular
Transtornos,Transtornos da identidade sexual
Transtornos,Transtornos da preferência sexual
Transtornos,Transtornos da valva pulmonar
Transtornos,Transtornos do aparelho lacrimal
Transtornos,Transtornos do globo ocular
Transtornos,Transtornos do nervo facial
Transtornos,Transtornos dos discos cervicais
Transtornos Específicos,Transtornos específicos da personalidade
Transtornos Globais,Transtornos globais do desenvolvimento
Transtornos Inflamatórios,Transtornos inflamatórios da mama
Transtornos Internos,Transtornos internos dos joelhos
Transtornos Primários,Transtornos primários dos músculos
Transtornos Vasculares,Transtornos vasculares do intestino
Traumatismo Superficial,Traumatismo de órgãos intra-abdominais
Traumatismo Superficial,Traumatismo dos nervos cranianos
Traumatismos Múltiplos,Traumatismos múltiplos não especificados
Trombose,Trombose da veia porta
Tuberculose,Tuberculose de outros órgãos
Tuberculose,Tuberculose do sistema nervoso
Uretrite,Uretrite e síndrome uretral
Varizes,Varizes de outras localizações
Varizes,Varizes dos membros inferiores
Aborto,Aborto não especificado
Afecções,Afecções das unhas
Agressão,Agressão por pesticidas
Anormalidade,Anormalidade das hemácias
Anormalidades,Anormalidades da respiração
Anúria,Anúria e oligúria
Artrite Reumatóide,Artrite reumatóide soro-positiva
Calos,Calos e calosidades
Caxumba,Caxumba [Parotidite epidêmica]
Cifose,Cifose e lordose
Contato,Contato com escorpiões
Convulsões,Convulsões do recém-nascido
Deficiência,Deficiência de tiamina
Deficiências Imunitárias,Deficiências imunitárias combinadas
Depleção,Depleção de volume
Dermatite,Dermatite das fraldas
Desnutrição,Desnutrição na gravidez
Diabetes Mellitus,Diabetes mellitus insulino-dependente
Diabetes Mellitus,Diabetes mellitus não-insulino-dependente
Difilobotríase,Difilobotríase e esparganose
Displasias Mamárias,Displasias mamárias benignas
Distúrbios,Distúrbios da voz
Distúrbios,Distúrbios de conduta
Distúrbios,Distúrbios do sono
Doença,Doença de Alzheimer
Doença,Doença de Chagas
Doença,Doença de Hodgkin
Doença,Doença de Huntington
Doença,Doença de Parkinson
Doença,Doença por citomegalovírus
Doenças,Doenças da língua
Doenças,Doenças do baço
Doenças,Doenças do timo
Doenças,Doenças dos capilares
Doenças Imunoproliferativas,Doenças imunoproliferativas malignas
Doenças Virais,Doenças virais congênitas
Estenose,Estenose da uretra
Ferimento,Ferimento da cabeça
Ferimento,Ferimento da perna
Ferimento,Ferimento do antebraço
Ferimento,Ferimento do pescoço
Ferimento,Ferimento do tórax
Flebite,Flebite e tromboflebite
Fratura,Fratura do antebraço
Fratura,Fratura do fêmur
Fratura,Fratura do pescoço
Gastrite,Gastrite e duodenite
Hematúria,Hematúria não especificada
Hepatite A,Hepatite aguda A
Hepatite B,Hepatite aguda B
Herpes Zoster,Herpes zoster [Zona]
Hidrocele,Hidrocele e espermatocele
Hiperfunção,Hiperfunção da hipófise
Hiperplasia,Hiperplasia da próstata
Hipertrofia,Hipertrofia da mama
Hipotermia,Hipotermia do recém-nascido
Hordéolo,Hordéolo e calázio
Icterícia,Icterícia não especificada
Imunização,Imunização não realizada
Infestação,Infestação por Taenia
Insuficiência Renal,Insuficiência renal aguda
Insuficiência Renal,Insuficiência renal crônica
Leiomioma,Leiomioma do útero
Lesões,Lesões do ombro
Mal Estar,"Mal estar, fadiga"
Medidas,Medidas de procriação
Melanoma,Melanoma in situ
Mormo,Mormo e melioidose
Morte,Morte sem assistência
Movimentos Involuntários,Movimentos involuntários anormais
Náusea,Náusea e vômitos
Negligência,Negligência e abandono
Orquite,Orquite e epididimite
Osteomalácia,Osteomalácia do adulto
Outras Afecções,Outras afecções acantolíticas
Outras Afecções,Outras afecções bolhosas
Outras Afecções,Outras afecções eritematosas
Outras Afecções,Outras afecções foliculares
Outras Afecções,Outras afecções pápulo-descamativas
Outras Afecções,Outras afecções pleurais
Outras Alterações,Outras alterações cutâneas
Outras Anemias,Outras anemias aplásticas
Outras Anemias,Outras anemias nutricionais
Outras,Outras arritmias cardíacas
Outras,Outras artrites reumatóides
Outras,Outras deficiências nutricionais
Outras,Outras deficiências vitamínicas
Outras,Outras doenças cerebrovasculares
Outras Dorsopatias,Outras dorsopatias deformantes
Outras,Outras espondilopatias inflamatórias
Outras,Outras hemorragias neonatais
Outras,Outras hérnias abdominais
Outras ,Outras infecções puerperais
Outras ,Outras micoses superficiais
Outras,Outras osteocondroses juvenis
Outras,Outras síndromes paralíticas
Outro,Outro retardo mental
Outro Seguimento,Outro seguimento cirúrgico
Outros Bócios,Outros bócios não-tóxicos
OutrosCuidados,Outros cuidados médicos
Outros Distúrbios,Outros distúrbios metabólicos
Outros Estados,Outros estados pós-cirúrgicos
Outros Transtornos,Outros transtornos ansiosos
Outros Transtornos,Outros transtornos endócrinos
Outros Transtornos,Outros transtornos musculares
Outros Transtornos,Outros transtornos neuróticos
Outros Transtornos,Outros transtornos ósseos
Outros Transtornos,Outros transtornos respiratórios
Outros Transtornos,Outros traumatismos obstétricos
Paraplegia,Paraplegia e tetraplegia
Pediculose,Pediculose e ftiríase
Perda Sangüínea,Perda sangüínea fetal
Pneumoconiose,Pneumoconiose não especificada
Privação,Privação não especificada
Projétil,Projétil de revólver
Prolapso,Prolapso genital feminino
Queda,Queda de árvore
Queda,Queda de penhasco
Queda,Queda sem especificação
Resultado,Resultado do parto
Retardo Mental,Retardo mental grave
Retardo Mental,Retardo mental leve
Retardo Mental,Retardo mental moderado
Retardo Mental,Retardo mental profundo
Salpingite,Salpingite e ooforite
Sarcoma,Sarcoma de Kaposi
Seqüelas,Seqüelas de hiperalimentação
Seqüelas,Seqüelas de poliomielite
Seqüelas,Seqüelas de tuberculose
Síncope,Síncope e colapso
Síndrome,Síndrome de Cushing
Síndrome,Síndrome de Down
Síndrome,Síndrome de Turner
Sinovite,Sinovite e tenossinovite
Tontura,Tontura e instabilidade
Torção,Torção do testículo
Transtornos,Transtornos da alimentação
Transtornos,Transtornos da esclerótica
Transtornos,Transtornos da órbita
Transtornos,Transtornos da placenta
Traumatismo,Traumatismo do coração
Úlcera,Úlcera de decúbito
Viagem,Viagem e movimento
Vítima,Vítima de inundação
Vítima,Vítima de raio
Vítima,Vítima de terremoto
Abortamento,Abortamento habitual
Aborto,Aborto espontâneo
Abscesso,Abscesso periamigdaliano
Acantose,Acantose nigricans
Adiposidade,Adiposidade localizada
Alopécia,Alopécia androgênica
Alopécia,Alopécia areata
Amigdalite,Amigdalite aguda
Angina,Angina pectoris
Apendicite,Apendicite aguda
Artrite,Artrite juvenil
Artrite,Artrite piogênica
Artropatias,Artropatias reacionais
Ataxia,Ataxia hereditária
Bronquiolite,Bronquiolite aguda
Bronquite,Bronquite aguda
Cancro,Cancro mole
Cárie,Cárie dentária
Catarata,Catarata senil
Celulite,Celulite (Flegmão)
Ceratose,Ceratose seborréica
Cirurgia,Cirurgia profilática
Cisto,Cisto pilonidal
Colite,Colite ulcerativa
Conjuntivite,Conjuntivite viral
Coréia,Coréia reumática
Demência,Demência vascular
Dermatite,Dermatite atópica
Dermatite,Dermatite esfoliativa
Dermatite,Dermatite seborréica
Disfunção,Disfunção ovariana
Disfunção,Disfunção poliglandular
Disfunção,Disfunção testicular
Distúrbios,Distúrbios visuais
Embolia,Embolia pulmonar
Encefalopatia,Encefalopatia tóxica
Epidermólise,Epidermólise bolhosa
Episódio,Episódio maníaco
Episódios,Episódios depressivos
Eritema,Eritema nodoso
Escabiose,Escabiose [sarna]
Esclerose,Esclerose múltipla
Esclerose,Esclerose sistêmica
Espinha,Espinha bífida
Espondilite,Espondilite ancilosante
Estrabismo,Estrabismo paralítico
Faringite,Faringite aguda
Febre,Febre amarela
Febre,Febre Q
Fenda,Fenda labial
Fenda,Fenda palatina
Fibrose,Fibrose cística
Geladura,Geladura superficial
Gestação,Gestação múltipla
Granuloma,Granuloma inguinal
Gravidez,Gravidez ectópica
Gravidez,Gravidez prolongada
Hemorragia,Hemorragia intracerebral
Hemorragia,Hemorragia pós-parto
Hemorragia,Hemorragia subaracnóide
Hérnia,Hérnia diafragmática
Hérnia,Hérnia femoral
Hérnia,Hérnia inguinal
Hérnia,Hérnia umbilical
Hérnia,Hérnia ventral
Hidrocefalia,Hidrocefalia congênita
Hipertensão,Hipertensão secundária
Hipóxia,Hipóxia intra-uterina
Ictiose,Ictiose congênita
Íleo,Íleo meconial
Incontinência,Incontinência fecal
Infarto,Infarto cerebral
Infecção,Infecção gonocócica
Infecção,Infecção meningogócica
Infecção,Infecção puerperal
Infertilidade,Infertilidade feminina
Infertilidade,Infertilidade masculina
Inflamação,Inflamação coriorretiniana
Insuficiência,Insuficiência cardíaca
Intervenção,Intervenção legal
Kwashiorkor,Kwashiorkor marasmático
Leucemia,Leucemia linfóide
Leucemia,Leucemia mielóide
Leucemia,Leucemia monocítica
Linfadenite,Linfadenite aguda
Linfadenite,Linfadenite inespecífica
Listeriose,Listeriose [listeríase]
Meningite,Meningite viral
Miocardite,Miocardite aguda
Mononucleose,Mononucleose infecciosa
Orifícios,Orifícios artificiais
Outras,Outras anemias
Outras,Outras artrites
Outras,Outras artroses
Outras,Outras bursopatias
Outras,Outras cataratas
Outras,Outras dermatites
Outras,Outras entesopatias
Outras,Outras espondilopatias
Outras,Outras helmintíases
Outras,Outras imunodeficiências
Outras,Outras infestações
Outras,Outras miopatias
Outras,Outras mononeuropatias
Outras,Outras osteocondrodisplasias
Outras,Outras osteocondropatias
Outras,Outras polineuropatias
Outras,Outras rickettsioses
Outras,Outras septicemias
Outros,Outros aneurismas
Outros,Outros estrabismos
Outros,Outros hipotireoidismos
Pancreatite,Pancreatite aguda
Parkinsonismo,Parkinsonismo secundário
Pericardite,Pericardite aguda
Pinta,Pinta [carate]
Piodermite,Piodermite gangrenosa
Pitiríase,Pitiríase rósea
Pneumonia,Pneumonia congênita
Policitemia,Policitemia vera
Polineuropatia,Polineuropatia inflamatória
Poliomielite,Poliomielite aguda
Proteinúria,Proteinúria isolada
Septicemia,Septicemia estreptocócica
Sífilis,Sífilis congênita
Sífilis,Sífilis não-venérea
Sífilis,Sífilis precoce
Sífilis,Sífilis tardia
Sinusite,Sinusite aguda
Sinusite,Sinusite crônica
Taquicardia,Taquicardia paroxística
Testículo,Testículo não-descido
Tétano,Tétano obstétrico
Tireotoxicose,Tireotoxicose [hipertireoidismo]
Transtorno,Transtorno esquizotípico
Transtorno,Transtorno obsessivo-compulsivo
Transtornos,Transtornos adrenogenitais
Transtornos,Transtornos esquizoafetivos
Transtornos,Transtornos falciformes
Transtornos,Transtornos fibroblásticos
Transtornos,Transtornos fóbico-ansiosos
Transtornos,Transtornos hipercinéticos
Transtornos,Transtornos somatoformes
Traumatismo,Traumatismo intracraniano
Tripanossomíase,Tripanossomíase africana
Tuberculose,Tuberculose miliar
Úlcera,Úlcera duodenal
Úlcera,Úlcera gástrica
Úlcera,Úlcera gastrojejunal
Varicela,Varicela [Catapora]
Varizes,Varizes esofagianas
Ocupante Automóvel carro,Ocupante de um automóvel [carro] traumatizado em colisão com outro veículo a motor de duas ou três rodas
Ocupante Veículo Motor Uso Essencialmente Agricola,Ocupante de um veículo especial a motor de uso essencialmente agrícola traumatizado em um acidente de transporte
Ocupante Veículo Motor Especial Construções,Ocupante de um veículo a motor especial de construções traumatizado em um acidente de transporte
Outros Problemas,"Outros problemas relacionados com o grupo primário de apoio, inclusive com a situação familiar"
Ocupante Bonde Carro Elétrico,Ocupante de um bonde [carro elétrico] traumatizado em um acidente de transporte
Ocupante Ônibus,Ocupante de um ônibus traumatizado em colisão com outro veículo não-motorizado
Intoxicação,Intoxicação por drogas que afetam principalmente o sistema nervoso autônomo
Abscesso,Abscesso do pulmão e do mediastino
Agressão,Agressão por meio de força corporal
Agressão,Agressão por meio de substâncias corrosivas
Agressão,Agressão por meio de um objeto contundente
Anemia,Anemia por deficiência de vitamina B12
Anormalidades,Anormalidades da marcha e da mobilidade
Bronquite Crônica,Bronquite crônica simples e a mucopurulenta
Calculose,Calculose do rim e do ureter
Cardiomiopatia,Cardiomiopatia em doenças classificadas em outra parte
Ceratodermia,Ceratodermia em doenças classificadas em outra parte
Choque,Choque não classificado em outra parte
Convulsões,"Convulsões, não classificadas em outra parte"
Defeitos,"Defeitos, por redução, do membro inferior"
Defeitos,"Defeitos, por redução, do membro superior"
Distúrbios,Distúrbios do olfato e do paladar
Doença,Doença inflamatória do colo do útero
Doenças,Doenças da polpa e dos tecidos periapicais
Dor,Dor de garganta e no peito
Dor,Dor não classificada em outra parte
Edema,Edema não classificado em outra parte
Efeitos Adversos,Efeitos adversos não classificados em outra parte
Efeitos,Efeitos do calor e da luz
Eritema,Eritema em doenças classificadas em outra parte
Erosão,Erosão e ectrópio do colo do útero
Espondilopatias,Espondilopatias em doenças classificadas em outra parte
Explosão,Explosão ou ruptura de cilindro de gás
Facomatoses,Facomatoses não classificadas em outra parte
Falha,Falha na indução do trabalho de parto
Ferimento,Ferimento do ombro e do braço
Ferimento,Ferimento do punho e da mão
Ferimento,Ferimento do quadril e da coxa
Ferimentos,Ferimentos do tornozelo e do pé
Fratura,Fratura do ombro e do braço
Fratura,Fratura do pé (exceto do tornozelo)
Gangrena,Gangrena não classificada em outra parte
Glaucoma,Glaucoma em doenças classificadas em outra parte
Hemorragia,Hemorragia não classificada em outra parte
Hidropsia Fetal,Hidropsia fetal devida a doença hemolítica
Lesões,Lesões ao nascer do sistema nervoso periférico
Miocardite,Miocardite em doenças classificadas em outra parte
Mononeuropatias,Mononeuropatias em doenças classificadas em outra parte
Onfalite,Onfalite do recém-nascido com ou sem hemorragia leve
Osteopatias,Osteopatias em doenças classificadas em outra parte
Osteoporose,Osteoporose em doenças classificadas em outra parte
Parkinsonismo,Parkinsonismo em doenças classificadas em outra parte
Pericardite,Pericardite em doenças classificadas em outra parte
Pneumonia,Pneumonia em doenças classificadas em outra parte
Polineuropatia,Polineuropatia em doenças classificadas em outra parte
Queda,Queda em ou de escadas de mão
Queda,Queda em ou de escadas ou degraus
Queimaduras,Queimaduras e corrosões de múltiplas regiões do corpo
Transtornos,Transtornos das raízes e dos plexos nervosos
Traumatismo,Traumatismo do olho e da órbita ocular
Infecções,Infecções do trato geniturinário na gravidez
Seqüelas,Seqüelas de doenças inflamatórias do sistema nervoso central
Afogamento,"Afogamento e submersão, intenção não determinada"
Disparo,"Disparo de pistola, intenção não determinada"
Fratura,Fratura da coluna lombar e da pelve
Distúrbios da Fala,Distúrbios da fala não classificados em outra parte
Efeito Tóxico,Efeito tóxico de outras substâncias e as não especificadas
Efeito Tóxico,Efeito tóxico de outras substâncias inorgânicas
Exame,Exame e observação por outras razões
Ferimentos,Ferimentos envolvendo múltiplas regiões do corpo
Fraturas,Fraturas envolvendo múltiplas regiões do corpo
Complicações Próprias,Complicações próprias de reimplante e amputação
Outros Transtornos,Outros transtornos das sinóvias e dos tendões
Hiperparatireoidismo,Hiperparatireoidismo e outros transtornos da glândula paratireóide
Hipofunção,Hipofunção e outros transtornos da hipófise
Malformações Congênitas,Malformações congênitas da traquéia e dos brônquios
Outras,Outras quedas de um nível a outro
Traumatismo,Traumatismo do aparelho urinário e de órgãos pélvicos
Impacto,"Impacto de um veículo a motor, intenção não determinada"
Circunstância,Circunstância relativa às condições de trabalho
Leucemia,Leucemia de tipo celular não especificado
Miastenia Gravis,Miastenia gravis e outros transtornos neuromusculares
Morte,Morte obstétrica de causa não especificada
Neoplasia,Neoplasia benigna de glândulas salivares maiores
Neoplasia,Neoplasia benigna do olho e anexos
Neoplasia,Neoplasia maligna da base da língua
Neoplasia,Neoplasia maligna do assoalho da boca
Neoplasia,Neoplasia maligna do colo do útero
Neoplasia,Neoplasia maligna do corpo do útero
Neoplasia,Neoplasia maligna do olho e anexos
Neoplasia,Neoplasia maligna dos seios da face
Neoplasia,Neoplasia maligna secundária de outras localizações
Neoplasia,"Neoplasia maligna, sem especificação de localização"
Outras Afecções,Outras afecções das artérias e arteríolas
Outras Afecções,Outras afecções localizadas do tecido conjuntivo
Outras Afecções,Outras afecções originadas no período perinatal
Outras Afecções,Outras afecções sistêmicas do tecido conjuntivo
Outras,Outras artropatias por deposição de cristais
Outras,Outras doenças das vias aéreas superiores
Outras,Outras doenças dos tecidos dentários duros
Outros,Outros transtornos da secreção pancreática interna
Outros,Outros transtornos da trompa de Eustáquio
Outros,Outros transtornos do olho e anexos
Outros,Outros transtornos do sistema nervoso central
Outros,Outros transtornos do sistema nervoso periférico
Problemas,Problemas relacionados com o ambiente físico
Problemas,Problemas relacionados com o meio social
Queda,Queda de outro tipo de mobília
Queda,Queda envolvendo uma cadeira de rodas
Queimadura,Queimadura e corrosão do trato respiratório
Seqüelas,Seqüelas de traumatismos do membro inferior
Seqüelas,Seqüelas de traumatismos do membro superior
Síndrome,Síndrome da morte súbita na infância
Supervisão,Supervisão de gravidez de alto risco
Transtornos,Transtornos da menopausa e da perimenopausa
Transtornos,Transtornos da refração e da acomodação
Transtornos,Transtornos do tônus muscular do recém-nascido
Transtornos,Transtornos dos hábitos e dos impulsos
Traumatismo,Traumatismo de nervos periféricos da perna
Traumatismo,Traumatismo de vasos sangüíneos da perna
Traumatismo,Traumatismo de vasos sangüíneos do tórax
Úlcera Péptica,Úlcera péptica de localização não especificada
Abscesso Cutâneo,"Abscesso cutâneo, furúnculo e antraz"
Afogamento,Afogamento e submersão em piscina
Afogamento,Afogamento e submersão não especificados
Agente Resistente,Agente resistente a múltiplos antibióticos
Agressão,Agressão por meios não especificados
Agressão,Agressão por outros meios especificados
Anemia,Anemia por deficiência de ferro
Anemia,Anemia por deficiência de folato
Aneurisma,Aneurisma e dissecção da aorta
Calcificação,Calcificação e ossificação do músculo
Carcinoma,Carcinoma in situ da pele
Cicatrizes,Cicatrizes e opacidades da córnea
CID,CID 10ª Revisão não disponível
Deficiência,Deficiência de cálcio da dieta
Deficiência,Deficiência de selênio da dieta
Deficiência,Deficiência de zinco da dieta
Demência,Demência na doença de Alzheimer
Dermatite,Dermatite de contato não especificada
Descolamentos,Descolamentos e defeitos da retina
Distúrbios,Distúrbios do metabolismo de glicoproteínas
Distúrbios,Distúrbios do metabolismo de minerais
Distúrbios,Distúrbios do metabolismo do glicosaminoglicano
Doadores,Doadores de órgãos e tecidos
Doença,Doença de Crohn [enterite regional]
Doença Isquêmica,Doença isquêmica crônica do coração
Doenças,Doenças da glândula de Bartholin
Doenças Reumáticas,Doenças reumáticas da valva aórtica
Doenças Reumáticas,Doenças reumáticas da valva mitral
Doenças Reumáticas,Doenças reumáticas da valva tricúspide
Doenças,"Doenças sexualmente transmitidas, não especificadas"
Efeitos Adversos,Efeitos adversos de antibióticos sistêmicos
Efeitos Adversos,Efeitos adversos de vacinas bacterianas
Efeitos,Efeitos de outras causas externas
Efeitos,Efeitos não especificados de radiação
Endocardite,Endocardite de valva não especificada
Exame,Exame ou teste de gravidez
Explosão,Explosão ou ruptura de caldeira
Exposição,Exposição a fatores não especificados
Fístulas,Fístulas do trato genital feminino
Fratura,"Fratura da perna, incluindo tornozelo"
Geladura,Geladura com necrose de tecidos
Hanseníase,Hanseníase [doença de Hansen] [lepra]
Hemorragia,Hemorragia do início da gravidez
História Familiar,História familiar de neoplasia maligna
História Pessoal,História pessoal de neoplasia maligna
Infecções Mamárias,Infecções mamárias associadas ao parto
Lesão,Lesão por esmagamento do antebraço
Lesões,Lesões por esmagamento da cabeça
Lesões,Lesões por esmagamento do pescoço
Medicamentos,Medicamentos ou substâncias biológicas contaminados
Necessidade,Necessidade de outras medidas profiláticas
Neoplasia,Neoplasia benigna da glândula tireóide
Neoplasia,Neoplasia benigna de tecido mesotelial
Neoplasia,Neoplasia benigna dos órgãos urinários
Neoplasia,Neoplasia maligna da glândula parótida
Neoplasia,Neoplasia maligna da glândula tireóide
Neoplasia,Neoplasia maligna da vesícula biliar
Neoplasia,Neoplasia maligna do intestino delgado
Neoplasia,Neoplasia maligna do seio piriforme
Outra,Outra embolia e trombose venosas
Outras Doenças,Outras doenças causadas por Clamídias
Outras Doenças,Outras doenças dos vasos pulmonares
Fígado,Outras doenças inflamatórias do fígado
Outras,Outras doenças inflamatórias do fígado
Outras,Outras doenças intestinais por protozoários
Outras,Outras doenças reumáticas do coração
Outras,Outras quedas no mesmo nível
Outras,Outras síndromes de maus tratos
Outros,Outros achados anormais na urina
Outros Cuidados,Outros cuidados de seguimento ortopédico
Outros Efeitos,Outros efeitos da temperatura reduzida
Outros Produtos,Outros produtos anormais da concepção
Outros Riscos,Outros riscos especificados à respiração
Outros Transtornos,Outros transtornos da glândula supra-renal
Outros Transtornos,Outros transtornos do movimento binocular
Outros Transtornos,Outros transtornos do ouvido externo
Outros Transtornos,Outros transtornos do ouvido interno
Outros Transtornos,Outros transtornos do trato urinário
Outros Transtornos,Outros transtornos dos glóbulos brancos
Pneumonia,Pneumonia devida a Haemophilus infuenzae
Pneumonia,Pneumonia devida a Streptococcus pneumoniae
Pneumonia,Pneumonia por microorganismo não especificada
Poliarterite,Poliarterite nodosa e afecções correlatas
Pólipo,Pólipo do trato genital feminino
Problemas,Problemas de alimentação do recém-nascido
Púrpura,Púrpura e outras afecções hemorrágicas
Retardo,Retardo do desenvolvimento fisiológico normal
Riscos,Riscos não especificados à respiração
Seqüelas,Seqüelas de acidentes de transporte
Seqüelas,Seqüelas de outras causas externas
Seqüelas,Seqüelas de traumatismo da cabeça
Sopros,Sopros e outros ruídos cardíacos
Transtornos,Transtornos de outros nervos cranianos
Transtornos Específicos,Transtornos específicos misto do desenvolvimento
Transtornos Psicóticos,Transtornos psicóticos agudos e transitórios
Traumatismo,Traumatismo por esmagamento da perna
Uropatia,Uropatia obstrutiva e por refluxo
